,Unnamed: 0,庫房,料號,品名,數量,帳務日期,週,工作日,年
0,0,DLN5,A00120067,5cc 塑膠注射空針,3,2019/1/1,1,FALSE,2019
1,1,DLN5,A00120067,5cc 塑膠注射空針,1,2019/1/1,1,FALSE,2019
2,2,DLN5,A00120067,5cc 塑膠注射空針,1,2019/1/1,1,FALSE,2019
3,3,DLN5,A00120067,5cc 塑膠注射空針,1,2019/1/1,1,FALSE,2019
4,4,DLN5,A00120067,5cc 塑膠注射空針,2,2019/1/1,1,FALSE,2019
5,5,DLN5,A00120067,5cc 塑膠注射空針,2,2019/1/1,1,FALSE,2019
6,6,DLN5,A00120067,5cc 塑膠注射空針,2,2019/1/1,1,FALSE,2019
7,7,DLN5,A00120067,5cc 塑膠注射空針,1,2019/1/2,1,TRUE,2019
8,8,DLN5,A00120067,5cc 塑膠注射空針,1,2019/1/2,1,TRUE,2019
9,9,DLN5,A00120067,5cc 塑膠注射空針,2,2019/1/2,1,TRUE,2019
10,10,DLN5,A00120067,5cc 塑膠注射空針,1,2019/1/2,1,TRUE,2019
11,11,DLN5,A00120067,5cc 塑膠注射空針,3,2019/1/2,1,TRUE,2019
12,12,DLN5,A00120067,5cc 塑膠注射空針,1,2019/1/2,1,TRUE,2019
13,13,DLN5,A00120067,5cc 塑膠注射空針,3,2019/1/2,1,TRUE,2019
14,14,DLN5,A00120067,5cc 塑膠注射空針,1,2019/1/2,1,TRUE,2019
15,15,DLN5,A00120067,5cc 塑膠注射空針,3,2019/1/2,1,TRUE,2019
16,16,DLN5,A00120067,5cc 塑膠注射空針,1,2019/1/2,1,TRUE,2019
17,17,DLN5,A00120067,5cc 塑膠注射空針,1,2019/1/2,1,TRUE,2019
18,18,DLN5,A00120067,5cc 塑膠注射空針,2,2019/1/2,1,TRUE,2019
19,19,DLN5,A00120067,5cc 塑膠注射空針,1,2019/1/3,1,TRUE,2019
20,20,DLN5,A00120067,5cc 塑膠注射空針,1,2019/1/3,1,TRUE,2019
