,庫房,料號,品名,數量,週,年,滑動平均,滑動標準差,滑動變異數
0,DLN5,A00120110,10cc塑膠注射空針 無螺紋,123.0,1,2019,,,
1,DLN5,A00120110,10cc塑膠注射空針 無螺紋,148.0,2,2019,,,
2,DLN5,A00120110,10cc塑膠注射空針 無螺紋,127.0,3,2019,,,
3,DLN5,A00120110,10cc塑膠注射空針 無螺紋,128.0,4,2019,,,
4,DLN5,A00120110,10cc塑膠注射空針 無螺紋,132.0,5,2019,131.5,11.21,125.67
5,DLN5,A00120110,10cc塑膠注射空針 無螺紋,129.0,6,2019,133.75,9.74,94.92
6,DLN5,A00120110,10cc塑膠注射空針 無螺紋,212.0,7,2019,129.0,2.16,4.67
7,DLN5,A00120110,10cc塑膠注射空針 無螺紋,166.0,8,2019,150.25,41.2,1697.58
8,DLN5,A00120110,10cc塑膠注射空針 無螺紋,151.0,9,2019,159.75,38.66,1494.92
9,DLN5,A00120110,10cc塑膠注射空針 無螺紋,165.0,10,2019,164.5,35.12,1233.67
10,DLN5,A00120110,10cc塑膠注射空針 無螺紋,180.0,11,2019,173.5,26.56,705.67
11,DLN5,A00120110,10cc塑膠注射空針 無螺紋,214.0,12,2019,165.5,11.85,140.33
12,DLN5,A00120110,10cc塑膠注射空針 無螺紋,143.0,13,2019,177.5,27.06,732.33
13,DLN5,A00120110,10cc塑膠注射空針 無螺紋,117.0,14,2019,175.5,29.83,889.67
14,DLN5,A00120110,10cc塑膠注射空針 無螺紋,197.0,15,2019,163.5,42.45,1801.67
15,DLN5,A00120110,10cc塑膠注射空針 無螺紋,162.0,16,2019,167.75,45.4,2060.92
16,DLN5,A00120110,10cc塑膠注射空針 無螺紋,245.0,17,2019,154.75,33.67,1133.58
17,DLN5,A00120110,10cc塑膠注射空針 無螺紋,190.0,18,2019,180.25,54.18,2935.58
18,DLN5,A00120110,10cc塑膠注射空針 無螺紋,150.0,19,2019,198.5,34.49,1189.67
19,DLN5,A00120110,10cc塑膠注射空針 無螺紋,160.0,20,2019,186.75,42.3,1788.92
20,DLN5,A00120110,10cc塑膠注射空針 無螺紋,188.0,21,2019,186.25,42.7,1822.92
21,DLN5,A00120110,10cc塑膠注射空針 無螺紋,113.0,22,2019,172.0,20.07,402.67
22,DLN5,A00120110,10cc塑膠注射空針 無螺紋,98.0,23,2019,152.75,31.0,960.92
23,DLN5,A00120110,10cc塑膠注射空針 無螺紋,153.0,24,2019,139.75,41.62,1732.25
24,DLN5,A00120110,10cc塑膠注射空針 無螺紋,132.0,25,2019,138.0,40.62,1650.0
25,DLN5,A00120110,10cc塑膠注射空針 無螺紋,189.0,26,2019,124.0,23.82,567.33
26,DLN5,A00120110,10cc塑膠注射空針 無螺紋,211.0,27,2019,143.0,38.13,1454.0
27,DLN5,A00120110,10cc塑膠注射空針 無螺紋,187.0,28,2019,171.25,35.44,1256.25
28,DLN5,A00120110,10cc塑膠注射空針 無螺紋,164.0,29,2019,179.75,33.64,1131.58
29,DLN5,A00120110,10cc塑膠注射空針 無螺紋,208.0,30,2019,187.75,19.21,368.92
30,DLN5,A00120110,10cc塑膠注射空針 無螺紋,154.0,31,2019,192.5,21.79,475.0
31,DLN5,A00120110,10cc塑膠注射空針 無螺紋,169.0,32,2019,178.25,24.17,584.25
