,庫房,料號,品名,數量,週,年,滑動平均,滑動標準差,滑動變異數
0,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,40.0,1,2019,,,
1,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,63.0,2,2019,,,
2,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,54.0,3,2019,,,
3,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,50.0,4,2019,,,
4,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,23.0,5,2019,51.75,9.54,90.92
5,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,39.0,6,2019,47.5,17.21,296.33
6,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,60.0,7,2019,41.5,13.87,192.33
7,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,69.0,8,2019,43.0,15.85,251.33
8,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,53.0,9,2019,47.75,20.74,430.25
9,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,59.0,10,2019,55.25,12.66,160.25
10,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,53.0,11,2019,60.25,6.6,43.58
11,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,76.0,12,2019,58.5,7.55,57.0
12,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,39.0,13,2019,60.25,10.87,118.25
13,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,31.0,14,2019,56.75,15.33,234.92
14,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,60.0,15,2019,49.75,19.72,388.92
15,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,63.0,16,2019,51.5,20.4,416.33
16,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,55.0,17,2019,48.25,15.69,246.25
17,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,50.0,18,2019,52.25,14.55,211.58
18,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,61.0,19,2019,57.0,5.72,32.67
19,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,55.0,20,2019,57.25,5.91,34.92
20,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,52.0,21,2019,55.25,4.5,20.25
21,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,38.0,22,2019,54.5,4.8,23.0
22,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,47.0,23,2019,51.5,9.75,95.0
23,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,56.0,24,2019,48.0,7.44,55.33
24,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,54.0,25,2019,48.25,7.76,60.25
25,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,45.0,26,2019,48.75,8.14,66.25
26,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,60.0,27,2019,50.5,5.32,28.33
27,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,54.0,28,2019,53.75,6.34,40.25
28,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,55.0,29,2019,53.25,6.18,38.25
29,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,53.0,30,2019,53.5,6.24,39.0
30,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,49.0,31,2019,55.5,3.11,9.67
31,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,54.0,32,2019,52.75,2.63,6.92
32,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,49.0,33,2019,52.75,2.63,6.92
33,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,35.0,34,2019,51.25,2.63,6.92
34,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,44.0,35,2019,46.75,8.18,66.92
35,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,57.0,36,2019,45.5,8.1,65.67
36,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,43.0,37,2019,46.25,9.22,84.92
37,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,47.0,38,2019,44.75,9.11,82.92
38,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,56.0,39,2019,47.75,6.4,40.92
39,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,54.0,40,2019,50.75,6.85,46.92
40,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,43.0,41,2019,50.0,6.06,36.67
41,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,44.0,42,2019,50.0,6.06,36.67
42,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,54.0,43,2019,49.25,6.7,44.92
43,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,41.0,44,2019,48.75,6.08,36.92
44,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,45.0,45,2019,45.5,5.8,33.67
45,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,47.0,46,2019,46.0,5.6,31.33
