,庫房,料號,品名,數量,週,年,滑動平均,滑動標準差,滑動變異數
0,DLN5,A00120067,5cc 塑膠注射空針,128.0,1,2019,,,
1,DLN5,A00120067,5cc 塑膠注射空針,136.0,2,2019,,,
2,DLN5,A00120067,5cc 塑膠注射空針,128.0,3,2019,,,
3,DLN5,A00120067,5cc 塑膠注射空針,135.0,4,2019,,,
4,DLN5,A00120067,5cc 塑膠注射空針,91.0,5,2019,131.75,4.35,18.92
5,DLN5,A00120067,5cc 塑膠注射空針,78.0,6,2019,122.5,21.3,453.67
6,DLN5,A00120067,5cc 塑膠注射空針,131.0,7,2019,108.0,27.8,772.67
7,DLN5,A00120067,5cc 塑膠注射空針,126.0,8,2019,108.75,28.55,814.92
8,DLN5,A00120067,5cc 塑膠注射空針,136.0,9,2019,106.5,26.03,677.67
9,DLN5,A00120067,5cc 塑膠注射空針,161.0,10,2019,117.75,26.81,718.92
10,DLN5,A00120067,5cc 塑膠注射空針,173.0,11,2019,138.5,15.55,241.67
11,DLN5,A00120067,5cc 塑膠注射空針,189.0,12,2019,149.0,21.74,472.67
12,DLN5,A00120067,5cc 塑膠注射空針,125.0,13,2019,164.75,22.34,498.92
13,DLN5,A00120067,5cc 塑膠注射空針,68.0,14,2019,162.0,27.2,740.0
14,DLN5,A00120067,5cc 塑膠注射空針,140.0,15,2019,138.75,54.44,2964.25
15,DLN5,A00120067,5cc 塑膠注射空針,114.0,16,2019,130.5,49.83,2483.0
16,DLN5,A00120067,5cc 塑膠注射空針,164.0,17,2019,111.75,31.05,964.25
17,DLN5,A00120067,5cc 塑膠注射空針,103.0,18,2019,121.5,41.1,1689.0
18,DLN5,A00120067,5cc 塑膠注射空針,147.0,19,2019,130.25,27.33,746.92
19,DLN5,A00120067,5cc 塑膠注射空針,131.0,20,2019,132.0,28.37,804.67
20,DLN5,A00120067,5cc 塑膠注射空針,134.0,21,2019,136.25,25.94,672.92
21,DLN5,A00120067,5cc 塑膠注射空針,109.0,22,2019,128.75,18.52,342.92
22,DLN5,A00120067,5cc 塑膠注射空針,113.0,23,2019,130.25,15.78,248.92
23,DLN5,A00120067,5cc 塑膠注射空針,124.0,24,2019,121.75,12.58,158.25
24,DLN5,A00120067,5cc 塑膠注射空針,133.0,25,2019,120.0,11.28,127.33
25,DLN5,A00120067,5cc 塑膠注射空針,127.0,26,2019,119.75,10.87,118.25
26,DLN5,A00120067,5cc 塑膠注射空針,143.0,27,2019,124.25,8.38,70.25
27,DLN5,A00120067,5cc 塑膠注射空針,107.0,28,2019,131.75,8.38,70.25
28,DLN5,A00120067,5cc 塑膠注射空針,128.0,29,2019,127.5,15.18,230.33
29,DLN5,A00120067,5cc 塑膠注射空針,153.0,30,2019,126.25,14.77,218.25
30,DLN5,A00120067,5cc 塑膠注射空針,110.0,31,2019,132.75,20.01,400.25
31,DLN5,A00120067,5cc 塑膠注射空針,141.0,32,2019,124.5,21.14,447.0
32,DLN5,A00120067,5cc 塑膠注射空針,190.0,33,2019,133.0,18.42,339.33
33,DLN5,A00120067,5cc 塑膠注射空針,86.0,34,2019,148.5,33.07,1093.67
34,DLN5,A00120067,5cc 塑膠注射空針,123.0,35,2019,131.75,44.89,2014.92
35,DLN5,A00120067,5cc 塑膠注射空針,202.0,36,2019,135.0,43.23,1868.67
36,DLN5,A00120067,5cc 塑膠注射空針,141.0,37,2019,150.25,55.16,3042.92
37,DLN5,A00120067,5cc 塑膠注射空針,111.0,38,2019,138.0,48.42,2344.67
38,DLN5,A00120067,5cc 塑膠注射空針,90.0,39,2019,144.25,40.43,1634.25
39,DLN5,A00120067,5cc 塑膠注射空針,124.0,40,2019,136.0,48.72,2374.0
40,DLN5,A00120067,5cc 塑膠注射空針,151.0,41,2019,116.5,21.52,463.0
