,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
0,2019-01-15,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,200.0,200.0,0.0,,3
1,2019-03-26,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,200.0,200.0,0.0,,13
2,2019-04-02,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,100.0,100.0,0.0,,14
3,2019-04-16,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,200.0,200.0,0.0,,16
4,2019-06-04,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,100.0,100.0,0.0,,23
5,2019-08-27,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,200.0,200.0,0.0,,35
6,2019-12-10,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,100.0,100.0,0.0,,50
7,2019-12-24,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,200.0,200.0,0.0,,52
0,2020-01-21,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,200.0,200.0,0.0,,4
1,2020-03-17,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,100.0,100.0,0.0,,12
2,2020-03-24,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,200.0,200.0,0.0,,13
3,2020-03-31,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,300.0,300.0,0.0,,14
4,2020-04-07,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,300.0,300.0,0.0,,15
5,2020-04-14,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,300.0,300.0,0.0,,16
6,2020-04-28,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,300.0,300.0,0.0,,18
7,2020-05-05,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,100.0,100.0,0.0,,19
8,2020-05-12,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,100.0,100.0,0.0,,20
9,2020-06-16,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,300.0,300.0,0.0,,25
10,2020-08-18,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,200.0,200.0,0.0,,34
11,2020-10-06,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,300.0,300.0,0.0,,41
12,2020-10-20,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,200.0,200.0,0.0,,43
13,2020-12-08,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,100.0,100.0,0.0,,50
0,2021-01-19,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,200.0,200.0,0.0,,3
1,2021-01-26,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,200.0,200.0,0.0,,4
2,2021-05-25,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,100.0,100.0,0.0,,21
3,2021-06-01,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,200.0,200.0,0.0,,22
4,2021-06-15,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,200.0,200.0,0.0,,24
5,2021-06-29,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,200.0,200.0,0.0,,26
6,2021-07-06,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,100.0,100.0,0.0,,27
7,2021-07-13,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,100.0,100.0,0.0,,28
8,2021-09-22,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,200.0,200.0,0.0,,38
9,2021-09-23,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,支,T,300.0,0.0,0.0,200.0,200.0,0.0,,38
