,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
0,2019-01-08,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,3.0,3.0,0.0,,2
1,2019-02-27,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,4.0,4.0,0.0,,9
2,2019-03-05,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,2.0,2.0,0.0,,10
3,2019-03-26,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,1.0,1.0,0.0,,13
4,2019-04-09,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,1.0,1.0,0.0,,15
5,2019-04-23,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,17
6,2019-04-30,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,2.0,2.0,0.0,,18
7,2019-05-14,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,1.0,1.0,0.0,,20
8,2019-05-16,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,1.0,1.0,0.0,,20
9,2019-07-02,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,2.0,2.0,0.0,,27
10,2019-07-16,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,2.0,2.0,0.0,,29
11,2019-07-30,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,4.0,4.0,0.0,,31
12,2019-08-13,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,2.0,2.0,0.0,,33
13,2019-08-20,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,2.0,2.0,0.0,,34
14,2019-09-03,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,2.0,2.0,0.0,0.0,36
15,2019-09-17,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,3.0,3.0,0.0,0.0,38
16,2019-09-24,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,2.0,2.0,0.0,0.0,39
17,2019-10-01,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,3.0,3.0,0.0,,40
18,2019-10-15,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,3.0,3.0,0.0,,42
19,2019-10-29,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,44
20,2019-11-19,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,3.0,3.0,0.0,,47
21,2019-12-03,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,2.0,2.0,0.0,,49
22,2019-12-17,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,51
23,2019-12-24,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,3.0,3.0,0.0,,52
0,2020-01-07,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,2.0,2.0,0.0,,2
1,2020-01-14,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,3
2,2020-01-21,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,4
3,2020-02-11,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,7
4,2020-02-25,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,2.0,2.0,0.0,,9
5,2020-03-04,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,10
6,2020-03-24,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,13
7,2020-04-21,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,3.0,3.0,0.0,,17
8,2020-05-05,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,19
9,2020-05-12,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,20
10,2020-06-09,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,3.0,3.0,0.0,,24
11,2020-08-11,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,33
12,2020-09-22,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,39
13,2020-10-06,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,41
14,2020-10-20,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,43
15,2020-11-04,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,45
16,2020-11-17,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,3.0,3.0,0.0,,47
17,2020-12-01,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,49
18,2020-12-08,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,3.0,3.0,0.0,,50
19,2020-12-22,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,52
20,2020-12-29,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,3.0,3.0,0.0,,53
0,2021-01-19,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,3
1,2021-02-02,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,5
2,2021-02-09,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,6
3,2021-02-23,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,8
4,2021-03-16,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,11
5,2021-03-30,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,13
6,2021-04-27,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,3.0,3.0,0.0,,17
7,2021-05-18,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,10.0,10.0,0.0,,20
8,2021-06-22,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,25
9,2021-08-05,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,31
10,2021-08-17,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,3.0,3.0,0.0,,33
11,2021-08-31,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,10.0,10.0,0.0,,35
12,2021-09-28,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,39
13,2021-10-19,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,42
14,2021-11-02,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,44
15,2021-12-16,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,10.0,0.0,0.0,5.0,5.0,0.0,,50
