,庫房,料號,品名,數量,帳務日期,週,工作日,工作天數,休假天數,年
204,DLN5,G81500272,血糖試紙,959.0,2019-01-06,1,False,3.0,3.0,2019
277,DLN5,G81500272,血糖試紙,1460.0,2019-01-13,2,False,5.0,2.0,2019
352,DLN5,G81500272,血糖試紙,1130.0,2019-01-20,3,False,5.0,2.0,2019
408,DLN5,G81500272,血糖試紙,1084.0,2019-01-27,4,False,5.0,2.0,2019
453,DLN5,G81500272,血糖試紙,799.0,2019-02-03,5,True,5.0,2.0,2019
524,DLN5,G81500272,血糖試紙,1388.0,2019-02-10,6,False,0.0,7.0,2019
615,DLN5,G81500272,血糖試紙,1747.0,2019-02-17,7,False,5.0,2.0,2019
711,DLN5,G81500272,血糖試紙,1536.0,2019-02-24,8,False,5.0,2.0,2019
813,DLN5,G81500272,血糖試紙,1446.0,2019-03-03,9,False,3.0,4.0,2019
891,DLN5,G81500272,血糖試紙,1490.0,2019-03-10,10,False,5.0,2.0,2019
940,DLN5,G81500272,血糖試紙,1129.0,2019-03-17,11,False,5.0,2.0,2019
1004,DLN5,G81500272,血糖試紙,1571.0,2019-03-24,12,False,5.0,2.0,2019
1080,DLN5,G81500272,血糖試紙,1267.0,2019-03-31,13,False,5.0,2.0,2019
1139,DLN5,G81500272,血糖試紙,1037.0,2019-04-07,14,False,3.0,4.0,2019
1217,DLN5,G81500272,血糖試紙,1463.0,2019-04-14,15,False,5.0,2.0,2019
1313,DLN5,G81500272,血糖試紙,1409.0,2019-04-21,16,False,5.0,2.0,2019
1393,DLN5,G81500272,血糖試紙,1499.0,2019-04-28,17,True,5.0,2.0,2019
1460,DLN5,G81500272,血糖試紙,1130.0,2019-05-05,18,True,4.0,3.0,2019
1521,DLN5,G81500272,血糖試紙,1253.0,2019-05-12,19,False,5.0,2.0,2019
1583,DLN5,G81500272,血糖試紙,1257.0,2019-05-19,20,False,5.0,2.0,2019
1614,DLN5,G81500272,血糖試紙,1040.0,2019-05-26,21,False,5.0,2.0,2019
1673,DLN5,G81500272,血糖試紙,976.0,2019-06-02,22,False,5.0,2.0,2019
1711,DLN5,G81500272,血糖試紙,809.0,2019-06-09,23,False,4.0,3.0,2019
1775,DLN5,G81500272,血糖試紙,1079.0,2019-06-16,24,False,5.0,2.0,2019
1821,DLN5,G81500272,血糖試紙,1072.0,2019-06-23,25,False,5.0,2.0,2019
1886,DLN5,G81500272,血糖試紙,1176.0,2019-06-30,26,False,5.0,2.0,2019
1934,DLN5,G81500272,血糖試紙,1183.0,2019-07-07,27,False,5.0,2.0,2019
1965,DLN5,G81500272,血糖試紙,958.0,2019-07-14,28,False,5.0,2.0,2019
2020,DLN5,G81500272,血糖試紙,1105.0,2019-07-21,29,False,5.0,2.0,2019
2097,DLN5,G81500272,血糖試紙,1376.0,2019-07-28,30,False,5.0,2.0,2019
2170,DLN5,G81500272,血糖試紙,1250.0,2019-08-04,31,False,5.0,2.0,2019
2239,DLN5,G81500272,血糖試紙,1340.0,2019-08-11,32,False,5.0,2.0,2019
2328,DLN5,G81500272,血糖試紙,1682.0,2019-08-18,33,False,5.0,2.0,2019
2387,DLN5,G81500272,血糖試紙,896.0,2019-08-25,34,False,5.0,2.0,2019
2450,DLN5,G81500272,血糖試紙,1112.0,2019-09-01,35,False,5.0,2.0,2019
2538,DLN5,G81500272,血糖試紙,1478.0,2019-09-08,36,False,4.0,3.0,2019
2612,DLN5,G81500272,血糖試紙,1275.0,2019-09-15,37,False,4.0,3.0,2019
2700,DLN5,G81500272,血糖試紙,1406.0,2019-09-22,38,False,5.0,2.0,2019
2772,DLN5,G81500272,血糖試紙,1110.0,2019-09-29,39,True,5.0,2.0,2019
2833,DLN5,G81500272,血糖試紙,1184.0,2019-10-06,40,False,5.0,2.0,2019
2907,DLN5,G81500272,血糖試紙,1321.0,2019-10-13,41,False,3.0,4.0,2019
2957,DLN5,G81500272,血糖試紙,959.0,2019-10-20,42,False,5.0,2.0,2019
3002,DLN5,G81500272,血糖試紙,1243.0,2019-10-27,43,False,5.0,2.0,2019
3057,DLN5,G81500272,血糖試紙,1176.0,2019-11-03,44,False,5.0,2.0,2019
3119,DLN5,G81500272,血糖試紙,1049.0,2019-11-10,45,False,5.0,2.0,2019
3193,DLN5,G81500272,血糖試紙,1288.0,2019-11-17,46,False,5.0,2.0,2019
3272,DLN5,G81500272,血糖試紙,1507.0,2019-11-24,47,False,5.0,2.0,2019
3366,DLN5,G81500272,血糖試紙,1552.0,2019-12-01,48,False,5.0,2.0,2019
3449,DLN5,G81500272,血糖試紙,1395.0,2019-12-08,49,False,5.0,2.0,2019
3525,DLN5,G81500272,血糖試紙,1206.0,2019-12-15,50,False,5.0,2.0,2019
3614,DLN5,G81500272,血糖試紙,1476.0,2019-12-22,51,False,5.0,2.0,2019
3676,DLN5,G81500272,血糖試紙,1431.0,2019-12-29,52,False,5.0,2.0,2019
3720,DLN5,G81500272,血糖試紙,690.0,2020-01-05,1,False,2.0,3.0,2020
3771,DLN5,G81500272,血糖試紙,887.0,2020-01-12,2,False,5.0,2.0,2020
3800,DLN5,G81500272,血糖試紙,822.0,2020-01-19,3,True,5.0,2.0,2020
3815,DLN5,G81500272,血糖試紙,285.0,2020-01-23,4,True,3.0,4.0,2020
3819,DLN5,G81500272,血糖試紙,212.0,2020-02-02,5,False,2.0,5.0,2020
3865,DLN5,G81500272,血糖試紙,1296.0,2020-02-09,6,False,5.0,2.0,2020
3946,DLN5,G81500272,血糖試紙,1356.0,2020-02-16,7,False,5.0,2.0,2020
4004,DLN5,G81500272,血糖試紙,1219.0,2020-02-23,8,False,5.0,2.0,2020
4060,DLN5,G81500272,血糖試紙,1026.0,2020-03-01,9,False,4.0,3.0,2020
4127,DLN5,G81500272,血糖試紙,1295.0,2020-03-08,10,False,5.0,2.0,2020
4208,DLN5,G81500272,血糖試紙,1582.0,2020-03-15,11,False,5.0,2.0,2020
4300,DLN5,G81500272,血糖試紙,1682.0,2020-03-22,12,False,5.0,2.0,2020
4431,DLN5,G81500272,血糖試紙,2762.0,2020-03-29,13,False,5.0,2.0,2020
4584,DLN5,G81500272,血糖試紙,2840.0,2020-04-05,14,False,3.0,4.0,2020
4739,DLN5,G81500272,血糖試紙,2703.0,2020-04-12,15,False,5.0,2.0,2020
4885,DLN5,G81500272,血糖試紙,2438.0,2020-04-19,16,False,5.0,2.0,2020
5016,DLN5,G81500272,血糖試紙,2333.0,2020-04-26,17,True,5.0,2.0,2020
5118,DLN5,G81500272,血糖試紙,2158.0,2020-05-03,18,False,4.0,3.0,2020
5243,DLN5,G81500272,血糖試紙,1974.0,2020-05-10,19,False,5.0,2.0,2020
5346,DLN5,G81500272,血糖試紙,1986.0,2020-05-17,20,False,5.0,2.0,2020
5428,DLN5,G81500272,血糖試紙,1318.0,2020-05-24,21,False,5.0,2.0,2020
5514,DLN5,G81500272,血糖試紙,1479.0,2020-05-31,22,False,5.0,2.0,2020
5589,DLN5,G81500272,血糖試紙,1307.0,2020-06-07,23,False,5.0,2.0,2020
5704,DLN5,G81500272,血糖試紙,1960.0,2020-06-14,24,False,5.0,2.0,2020
5786,DLN5,G81500272,血糖試紙,1833.0,2020-06-21,25,False,5.0,2.0,2020
5869,DLN5,G81500272,血糖試紙,1593.0,2020-06-28,26,True,3.0,4.0,2020
5973,DLN5,G81500272,血糖試紙,1796.0,2020-07-05,27,False,5.0,2.0,2020
6098,DLN5,G81500272,血糖試紙,1820.0,2020-07-12,28,False,5.0,2.0,2020
6185,DLN5,G81500272,血糖試紙,1238.0,2020-07-19,29,False,5.0,2.0,2020
6274,DLN5,G81500272,血糖試紙,1497.0,2020-07-26,30,False,5.0,2.0,2020
