,庫房,料號,品名,數量,帳務日期,週,工作日,工作天數,休假天數,年
175,DLN5,K80004044,Push Button Blood Collection,985.0,2019-01-06,1,False,3.0,3.0,2019
205,DLN5,K80004044,Push Button Blood Collection,1503.0,2019-01-13,2,False,5.0,2.0,2019
228,DLN5,K80004044,Push Button Blood Collection,1157.0,2019-01-20,3,False,5.0,2.0,2019
246,DLN5,K80004044,Push Button Blood Collection,1104.0,2019-01-27,4,False,5.0,2.0,2019
257,DLN5,K80004044,Push Button Blood Collection,819.0,2019-02-03,5,True,5.0,2.0,2019
272,DLN5,K80004044,Push Button Blood Collection,1410.0,2019-02-10,6,False,0.0,7.0,2019
298,DLN5,K80004044,Push Button Blood Collection,1781.0,2019-02-17,7,False,5.0,2.0,2019
317,DLN5,K80004044,Push Button Blood Collection,1566.0,2019-02-23,8,False,5.0,2.0,2019
342,DLN5,K80004044,Push Button Blood Collection,1475.0,2019-03-02,9,False,3.0,4.0,2019
365,DLN5,K80004044,Push Button Blood Collection,1522.0,2019-03-09,10,False,5.0,2.0,2019
402,DLN5,K80004044,Push Button Blood Collection,1171.0,2019-03-17,11,False,5.0,2.0,2019
434,DLN5,K80004044,Push Button Blood Collection,1610.0,2019-03-24,12,False,5.0,2.0,2019
452,DLN5,K80004044,Push Button Blood Collection,1300.0,2019-03-31,13,False,5.0,2.0,2019
463,DLN5,K80004044,Push Button Blood Collection,1054.0,2019-04-06,14,False,3.0,4.0,2019
490,DLN5,K80004044,Push Button Blood Collection,1505.0,2019-04-14,15,False,5.0,2.0,2019
507,DLN5,K80004044,Push Button Blood Collection,1435.0,2019-04-21,16,False,5.0,2.0,2019
527,DLN5,K80004044,Push Button Blood Collection,1526.0,2019-04-28,17,True,5.0,2.0,2019
557,DLN5,K80004044,Push Button Blood Collection,1170.0,2019-05-05,18,True,4.0,3.0,2019
592,DLN5,K80004044,Push Button Blood Collection,1301.0,2019-05-12,19,False,5.0,2.0,2019
619,DLN5,K80004044,Push Button Blood Collection,1299.0,2019-05-19,20,False,5.0,2.0,2019
651,DLN5,K80004044,Push Button Blood Collection,1084.0,2019-05-26,21,False,5.0,2.0,2019
669,DLN5,K80004044,Push Button Blood Collection,999.0,2019-06-01,22,False,5.0,2.0,2019
685,DLN5,K80004044,Push Button Blood Collection,826.0,2019-06-09,23,False,4.0,3.0,2019
716,DLN5,K80004044,Push Button Blood Collection,1114.0,2019-06-16,24,False,5.0,2.0,2019
743,DLN5,K80004044,Push Button Blood Collection,1103.0,2019-06-23,25,False,5.0,2.0,2019
773,DLN5,K80004044,Push Button Blood Collection,1217.0,2019-06-30,26,False,5.0,2.0,2019
788,DLN5,K80004044,Push Button Blood Collection,1200.0,2019-07-07,27,False,5.0,2.0,2019
801,DLN5,K80004044,Push Button Blood Collection,971.0,2019-07-14,28,False,5.0,2.0,2019
818,DLN5,K80004044,Push Button Blood Collection,1122.0,2019-07-21,29,False,5.0,2.0,2019
850,DLN5,K80004044,Push Button Blood Collection,1409.0,2019-07-28,30,False,5.0,2.0,2019
872,DLN5,K80004044,Push Button Blood Collection,1277.0,2019-08-04,31,False,5.0,2.0,2019
888,DLN5,K80004044,Push Button Blood Collection,1356.0,2019-08-11,32,False,5.0,2.0,2019
926,DLN5,K80004044,Push Button Blood Collection,1733.0,2019-08-18,33,False,5.0,2.0,2019
948,DLN5,K80004044,Push Button Blood Collection,918.0,2019-08-25,34,False,5.0,2.0,2019
969,DLN5,K80004044,Push Button Blood Collection,1144.0,2019-09-01,35,False,5.0,2.0,2019
1010,DLN5,K80004044,Push Button Blood Collection,1523.0,2019-09-08,36,False,4.0,3.0,2019
1030,DLN5,K80004044,Push Button Blood Collection,1299.0,2019-09-15,37,False,4.0,3.0,2019
1050,DLN5,K80004044,Push Button Blood Collection,1429.0,2019-09-22,38,False,5.0,2.0,2019
1080,DLN5,K80004044,Push Button Blood Collection,1145.0,2019-09-29,39,True,5.0,2.0,2019
1104,DLN5,K80004044,Push Button Blood Collection,1215.0,2019-10-06,40,False,5.0,2.0,2019
1133,DLN5,K80004044,Push Button Blood Collection,1355.0,2019-10-13,41,False,3.0,4.0,2019
1158,DLN5,K80004044,Push Button Blood Collection,989.0,2019-10-20,42,False,5.0,2.0,2019
1181,DLN5,K80004044,Push Button Blood Collection,1274.0,2019-10-27,43,False,5.0,2.0,2019
1208,DLN5,K80004044,Push Button Blood Collection,1214.0,2019-11-03,44,False,5.0,2.0,2019
1220,DLN5,K80004044,Push Button Blood Collection,1065.0,2019-11-10,45,False,5.0,2.0,2019
1242,DLN5,K80004044,Push Button Blood Collection,1312.0,2019-11-17,46,False,5.0,2.0,2019
1275,DLN5,K80004044,Push Button Blood Collection,1549.0,2019-11-24,47,False,5.0,2.0,2019
1312,DLN5,K80004044,Push Button Blood Collection,1596.0,2019-12-01,48,False,5.0,2.0,2019
1357,DLN5,K80004044,Push Button Blood Collection,1445.0,2019-12-08,49,False,5.0,2.0,2019
1383,DLN5,K80004044,Push Button Blood Collection,1234.0,2019-12-15,50,False,5.0,2.0,2019
1422,DLN5,K80004044,Push Button Blood Collection,1519.0,2019-12-22,51,False,5.0,2.0,2019
