,庫房,料號,品名,數量,帳務日期,週,工作日,工作天數,休假天數,年
187,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,558.0,2019-01-06,1,False,3.0,3.0,2019
239,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,819.0,2019-01-13,2,False,5.0,2.0,2019
285,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,613.0,2019-01-20,3,False,5.0,2.0,2019
333,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,638.0,2019-01-27,4,False,5.0,2.0,2019
359,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,450.0,2019-02-03,5,True,5.0,2.0,2019
387,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,685.0,2019-02-10,6,False,0.0,7.0,2019
441,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,960.0,2019-02-17,7,False,5.0,2.0,2019
485,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,812.0,2019-02-24,8,False,5.0,2.0,2019
538,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,713.0,2019-03-03,9,False,3.0,4.0,2019
589,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,757.0,2019-03-10,10,False,5.0,2.0,2019
634,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,702.0,2019-03-17,11,False,5.0,2.0,2019
688,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,905.0,2019-03-24,12,False,5.0,2.0,2019
730,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,659.0,2019-03-31,13,False,5.0,2.0,2019
751,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,451.0,2019-04-07,14,False,3.0,4.0,2019
807,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,828.0,2019-04-14,15,False,5.0,2.0,2019
856,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,721.0,2019-04-20,16,False,5.0,2.0,2019
911,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,891.0,2019-04-28,17,True,5.0,2.0,2019
949,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,632.0,2019-05-05,18,True,4.0,3.0,2019
994,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,698.0,2019-05-12,19,False,5.0,2.0,2019
1039,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,728.0,2019-05-19,20,False,5.0,2.0,2019
1087,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,702.0,2019-05-26,21,False,5.0,2.0,2019
1121,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,547.0,2019-06-02,22,False,5.0,2.0,2019
1156,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,479.0,2019-06-09,23,False,4.0,3.0,2019
1198,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,641.0,2019-06-16,24,False,5.0,2.0,2019
1243,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,631.0,2019-06-23,25,False,5.0,2.0,2019
1290,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,684.0,2019-06-30,26,False,5.0,2.0,2019
1340,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,720.0,2019-07-07,27,False,5.0,2.0,2019
1386,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,670.0,2019-07-14,28,False,5.0,2.0,2019
1427,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,652.0,2019-07-21,29,False,5.0,2.0,2019
1479,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,768.0,2019-07-28,30,False,5.0,2.0,2019
1516,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,667.0,2019-08-04,31,False,5.0,2.0,2019
1557,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,781.0,2019-08-11,32,False,5.0,2.0,2019
1609,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1003.0,2019-08-18,33,False,5.0,2.0,2019
1642,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,502.0,2019-08-25,34,False,5.0,2.0,2019
1686,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,622.0,2019-09-01,35,False,5.0,2.0,2019
1742,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,882.0,2019-09-08,36,False,4.0,3.0,2019
1786,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,748.0,2019-09-15,37,False,4.0,3.0,2019
1827,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,694.0,2019-09-22,38,False,5.0,2.0,2019
1867,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,595.0,2019-09-29,39,True,5.0,2.0,2019
1908,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,679.0,2019-10-06,40,False,5.0,2.0,2019
1961,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,769.0,2019-10-13,41,False,3.0,4.0,2019
1998,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,587.0,2019-10-20,42,False,5.0,2.0,2019
