,庫房,料號,品名,數量,帳務日期,週,工作日,工作天數,休假天數,年
162,DLN5,C02113123,抽痰管，內含手控接頭,807.0,2019-01-05,1,False,3.0,3.0,2019
169,DLN5,C02113123,抽痰管，內含手控接頭,1209.0,2019-01-13,2,False,5.0,2.0,2019
177,DLN5,C02113123,抽痰管，內含手控接頭,912.0,2019-01-20,3,False,5.0,2.0,2019
178,DLN5,C02113123,抽痰管，內含手控接頭,888.0,2019-01-21,4,True,5.0,2.0,2019
180,DLN5,C02113123,抽痰管，內含手控接頭,656.0,2019-01-29,5,True,5.0,2.0,2019
192,DLN5,C02113123,抽痰管，內含手控接頭,1090.0,2019-02-10,6,False,0.0,7.0,2019
202,DLN5,C02113123,抽痰管，內含手控接頭,1429.0,2019-02-17,7,False,5.0,2.0,2019
215,DLN5,C02113123,抽痰管，內含手控接頭,1233.0,2019-02-24,8,False,5.0,2.0,2019
222,DLN5,C02113123,抽痰管，內含手控接頭,1137.0,2019-02-27,9,True,3.0,4.0,2019
228,DLN5,C02113123,抽痰管，內含手控接頭,1203.0,2019-03-08,10,True,5.0,2.0,2019
10,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,953.0,2019-03-16,11,False,5.0,2.0,2019
239,DLN5,C02113123,抽痰管，內含手控接頭,1308.0,2019-03-24,12,False,5.0,2.0,2019
251,DLN5,C02113123,抽痰管，內含手控接頭,1036.0,2019-03-31,13,False,5.0,2.0,2019
270,DLN5,C02113123,抽痰管，內含手控接頭,838.0,2019-04-07,14,False,3.0,4.0,2019
284,DLN5,C02113123,抽痰管，內含手控接頭,1230.0,2019-04-14,15,False,5.0,2.0,2019
295,DLN5,C02113123,抽痰管，內含手控接頭,1133.0,2019-04-21,16,False,5.0,2.0,2019
299,DLN5,C02113123,抽痰管，內含手控接頭,1228.0,2019-04-26,17,True,5.0,2.0,2019
301,DLN5,C02113123,抽痰管，內含手控接頭,910.0,2019-05-02,18,False,4.0,3.0,2019
310,DLN5,C02113123,抽痰管，內含手控接頭,1049.0,2019-05-12,19,False,5.0,2.0,2019
318,DLN5,C02113123,抽痰管，內含手控接頭,1063.0,2019-05-19,20,False,5.0,2.0,2019
321,DLN5,C02113123,抽痰管，內含手控接頭,918.0,2019-05-22,21,True,5.0,2.0,2019
322,DLN5,C02113123,抽痰管，內含手控接頭,801.0,2019-05-27,22,True,5.0,2.0,2019
323,DLN5,C02113123,抽痰管，內含手控接頭,669.0,2019-06-07,23,False,4.0,3.0,2019
