,庫房,料號,品名,數量,週,年,滑動平均,滑動標準差,滑動變異數
0,DLN5,A02120180,塑膠注射針頭,60.0,1,2019,,,
1,DLN5,A02120180,塑膠注射針頭,44.0,2,2019,,,
2,DLN5,A02120180,塑膠注射針頭,29.0,3,2019,,,
3,DLN5,A02120180,塑膠注射針頭,23.0,4,2019,,,
4,DLN5,A02120180,塑膠注射針頭,32.0,5,2019,39.0,16.55,274.0
5,DLN5,A02120180,塑膠注射針頭,89.0,6,2019,32.0,8.83,78.0
6,DLN5,A02120180,塑膠注射針頭,58.0,7,2019,43.25,30.73,944.25
7,DLN5,A02120180,塑膠注射針頭,52.0,8,2019,50.5,29.65,879.0
8,DLN5,A02120180,塑膠注射針頭,42.0,9,2019,57.75,23.61,557.58
9,DLN5,A02120180,塑膠注射針頭,33.0,10,2019,60.25,20.27,410.92
10,DLN5,A02120180,塑膠注射針頭,8.0,11,2019,46.25,11.03,121.58
11,DLN5,A02120180,塑膠注射針頭,53.0,12,2019,33.75,18.84,354.92
12,DLN5,A02120180,塑膠注射針頭,45.0,13,2019,34.0,19.17,367.33
13,DLN5,A02120180,塑膠注射針頭,33.0,14,2019,34.75,19.64,385.58
14,DLN5,A02120180,塑膠注射針頭,53.0,15,2019,34.75,19.64,385.58
15,DLN5,A02120180,塑膠注射針頭,28.0,16,2019,46.0,9.45,89.33
16,DLN5,A02120180,塑膠注射針頭,40.0,17,2019,39.75,11.35,128.92
17,DLN5,A02120180,塑膠注射針頭,17.0,18,2019,38.5,10.85,117.67
18,DLN5,A02120180,塑膠注射針頭,30.0,19,2019,34.5,15.5,240.33
19,DLN5,A02120180,塑膠注射針頭,40.0,20,2019,28.75,9.43,88.92
20,DLN5,A02120180,塑膠注射針頭,47.0,21,2019,31.75,10.9,118.92
21,DLN5,A02120180,塑膠注射針頭,37.0,22,2019,33.5,13.03,169.67
22,DLN5,A02120180,塑膠注射針頭,29.0,23,2019,38.5,7.05,49.67
23,DLN5,A02120180,塑膠注射針頭,35.0,24,2019,38.25,7.46,55.58
24,DLN5,A02120180,塑膠注射針頭,27.0,25,2019,37.0,7.48,56.0
25,DLN5,A02120180,塑膠注射針頭,36.0,26,2019,32.0,4.76,22.67
26,DLN5,A02120180,塑膠注射針頭,20.0,27,2019,31.75,4.43,19.58
27,DLN5,A02120180,塑膠注射針頭,31.0,28,2019,29.5,7.51,56.33
28,DLN5,A02120180,塑膠注射針頭,34.0,29,2019,28.5,6.76,45.67
29,DLN5,A02120180,塑膠注射針頭,40.0,30,2019,30.25,7.14,50.92
30,DLN5,A02120180,塑膠注射針頭,44.0,31,2019,31.25,8.38,70.25
31,DLN5,A02120180,塑膠注射針頭,57.0,32,2019,37.25,5.85,34.25
32,DLN5,A02120180,塑膠注射針頭,92.0,33,2019,43.75,9.74,94.92
33,DLN5,A02120180,塑膠注射針頭,55.0,34,2019,58.25,23.64,558.92
34,DLN5,A02120180,塑膠注射針頭,15.0,35,2019,62.0,20.8,432.67
35,DLN5,A02120180,塑膠注射針頭,28.0,36,2019,54.75,31.48,990.92
36,DLN5,A02120180,塑膠注射針頭,33.0,37,2019,47.5,34.02,1157.67
37,DLN5,A02120180,塑膠注射針頭,30.0,38,2019,32.75,16.66,277.58
