,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),內部秏損量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-14,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,3,,,,,,,,,,,,
1,2019-03-04,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,10,,,,,,,,,,,,
2,2019-04-08,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,15,,,,,,,,,,,,
3,2019-04-22,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,17,,,,,,,,,,,,
4,2019-05-06,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,19,,,,,,,,,,,,
5,2019-05-25,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,-4.0,-4.0,0.0,21,,,,,,,,,,,,
6,2019-06-10,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,24,,,,,,,,,,,,
7,2019-06-24,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,26,,,,,,,,,,,,
8,2019-07-01,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,27,,,,,,,,,,,,
9,2019-09-02,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,36,,,,,,,,,,,,
10,2019-09-16,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,38,,,,,,,,,,,,
11,2019-10-07,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,41,,,,,,,,,,,,
12,2019-11-11,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,46,,,,,,,,,,,,
13,2019-12-09,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,50,,,,,,,,,,,,
0,2020-02-10,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,7,,,,,,,,,,,,
1,2020-04-13,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,16,,,,,,,,,,,,
2,2020-04-25,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,-3.0,-3.0,0.0,17,,,,,,,,,,,,
3,2020-05-04,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,19,,,,,,,,,,,,
4,2020-05-18,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,21,,,,,,,,,,,,
5,2020-06-22,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,26,,,,,,,,,,,,
6,2020-06-29,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,27,,,,,,,,,,,,
7,2020-08-03,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,32,,,,,,,,,,,,
8,2020-08-17,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,34,,,,,,,,,,,,
9,2020-08-24,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,35,,,,,,,,,,,,
10,2020-09-14,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,10.0,0.0,0.0,10.0,10.0,0.0,38,,,,,,,,,,,,
