,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),內部秏損量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-07,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,2,,,,,,,,,,,,
1,2019-02-11,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,7,,,,,,,,,,,,
2,2019-02-25,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,4.0,4.0,0.0,9,,,,,,,,,,,,
3,2019-04-22,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,17,,,,,,,,,,,,
4,2019-05-27,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,22,,,,,,,,,,,,
5,2019-07-01,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,27,,,,,,,,,,,,
6,2019-09-30,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,40,,,,,,,,,,,,
7,2019-10-28,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,44,,,,,,,,,,,,
8,2019-12-16,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,51,,,,,,,,,,,,
0,2020-01-20,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,4,,,,,,,,,,,,
1,2020-02-24,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,9,,,,,,,,,,,,
2,2020-03-09,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,11,,,,,,,,,,,,
3,2020-03-23,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,13,,,,,,,,,,,,
4,2020-04-20,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,17,,,,,,,,,,,,
5,2020-05-11,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,20,,,,,,,,,,,,
