,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),內部秏損量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-28,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,5,,,,,,,,,,,,
1,2019-03-25,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,13,,,,,,,,,,,,
2,2019-06-24,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,26,,,,,,,,,,,,
3,2019-10-21,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,43,,,,,,,,,,,,
4,2019-11-11,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,46,,,,,,,,,,,,
5,2019-12-23,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,52,,,,,,,,,,,,
0,2020-01-20,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,4,,,,,,,,,,,,
1,2020-02-10,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,7,,,,,,,,,,,,
2,2020-03-16,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,12,,,,,,,,,,,,
3,2020-03-30,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,14,,,,,,,,,,,,
4,2020-04-27,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,18,,,,,,,,,,,,
5,2020-05-04,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,19,,,,,,,,,,,,
6,2020-05-25,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,22,,,,,,,,,,,,
7,2020-07-06,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,28,,,,,,,,,,,,
8,2020-08-24,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,35,,,,,,,,,,,,
9,2020-08-29,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,1.0,1.0,0.0,35,,,,,,,,,,,,
10,2020-10-02,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,1.0,1.0,0.0,40,,,,,,,,,,,,
11,2020-12-14,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,51,,,,,,,,,,,,
0,2021-01-25,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,4,,,,,,,,,,,,
1,2021-07-29,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,30,,,,,,,,,,,,
2,2021-08-30,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-10-12,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-10-18,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-12-22,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
