,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),內部秏損量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-04-22,G80501505,藍頭P.T 管(真空無菌),受容量3ml採血量2ml,支,T,1.0,0.0,0.0,1.0,1.0,0.0,17,,,,,,,,,,,,
1,2019-05-13,G80501505,藍頭P.T 管(真空無菌),受容量3ml採血量2ml,支,T,1.0,0.0,0.0,1.0,1.0,0.0,20,,,,,,,,,,,,
2,2019-09-02,G80501505,藍頭P.T 管(真空無菌),受容量3ml採血量2ml,支,T,1.0,0.0,0.0,1.0,1.0,0.0,36,,,,,,,,,,,,
3,2019-10-21,G80501505,藍頭P.T 管(真空無菌),受容量3ml採血量2ml,支,T,1.0,0.0,0.0,1.0,1.0,0.0,43,,,,,,,,,,,,
4,2019-11-04,G80501505,藍頭P.T 管(真空無菌),受容量3ml採血量2ml,支,T,1.0,0.0,0.0,1.0,1.0,0.0,45,,,,,,,,,,,,
0,2020-07-08,G80501505,藍頭P.T 管(真空無菌),受容量3ml採血量2ml,支,T,1.0,0.0,0.0,5.0,5.0,0.0,28,,,,,,,,,,,,
1,2020-12-28,G80501505,藍頭P.T 管(真空無菌),受容量3ml採血量2ml,支,T,1.0,0.0,0.0,1.0,1.0,0.0,53,,,,,,,,,,,,
0,2021-12-03,G80501505,藍頭P.T 管(真空無菌),受容量3ml採血量2ml,支,T,1.0,0.0,0.0,3.0,3.0,0.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-12-13,G80501505,藍頭P.T 管(真空無菌),受容量3ml採血量2ml,支,T,1.0,0.0,0.0,1.0,1.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-12-27,G80501505,藍頭P.T 管(真空無菌),受容量3ml採血量2ml,支,T,1.0,0.0,0.0,1.0,1.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
