,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),內部秏損量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-07,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,2,,,,,,,,,,,,
1,2019-03-11,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,11,,,,,,,,,,,,
2,2019-04-22,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,17,,,,,,,,,,,,
3,2019-06-10,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,24,,,,,,,,,,,,
4,2019-06-24,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,26,,,,,,,,,,,,
5,2019-08-19,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,34,,,,,,,,,,,,
6,2019-09-23,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,39,,,,,,,,,,,,
7,2019-11-11,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,46,,,,,,,,,,,,
8,2019-12-23,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,52,,,,,,,,,,,,
0,2020-01-20,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,4,,,,,,,,,,,,
1,2020-03-09,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,11,,,,,,,,,,,,
2,2020-04-13,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,16,,,,,,,,,,,,
3,2020-05-11,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,20,,,,,,,,,,,,
4,2020-06-22,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,26,,,,,,,,,,,,
5,2020-08-03,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,32,,,,,,,,,,,,
6,2020-08-10,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,33,,,,,,,,,,,,
7,2020-09-28,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,40,,,,,,,,,,,,
8,2020-11-16,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,47,,,,,,,,,,,,
9,2020-12-14,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,51,,,,,,,,,,,,
0,2021-01-04,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,1,,,,,,,,,,,,
1,2021-01-28,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,4,,,,,,,,,,,,
2,2021-02-01,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
