,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
0,2019-09-03,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,1.0,0.0,0.0,1.0,1.0,0.0,0.0,36
0,2020-01-21,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,1.0,0.0,0.0,1.0,1.0,0.0,,4
1,2020-03-31,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,1.0,0.0,0.0,1.0,1.0,0.0,,14
2,2020-04-07,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,1.0,0.0,0.0,1.0,1.0,0.0,,15
3,2020-09-22,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,1.0,0.0,0.0,1.0,1.0,0.0,,39
4,2020-09-30,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,1.0,0.0,0.0,1.0,1.0,0.0,,40
0,2021-01-05,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,1.0,0.0,0.0,1.0,1.0,0.0,,1
1,2021-01-19,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,1.0,0.0,0.0,1.0,1.0,0.0,,3
2,2021-01-26,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,1.0,0.0,0.0,1.0,1.0,0.0,,4
3,2021-09-07,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,1.0,0.0,0.0,1.0,1.0,0.0,,36
