,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數
0,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2020-03-23,True,13,2020,5.0,2.0
1,DLN5,A00124417,血氣分析專用採血器 3 cc,2.0,2020-03-28,False,13,2020,5.0,2.0
2,DLN5,A00124417,血氣分析專用採血器 3 cc,2.0,2020-03-29,False,13,2020,5.0,2.0
3,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2020-03-30,True,14,2020,3.0,4.0
4,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2020-04-07,True,15,2020,5.0,2.0
5,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2020-05-14,True,20,2020,5.0,2.0
6,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2020-12-23,True,52,2020,5.0,2.0
7,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2021-01-06,True,1,2021,5.0,2.0
8,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2021-03-17,True,11,2021,5.0,2.0
9,DLN5,A00124417,血氣分析專用採血器 3 cc,2.0,2021-04-22,True,16,2021,5.0,2.0
10,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2021-06-29,True,26,2021,5.0,2.0
11,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2021-11-17,True,46,2021,5.0,2.0
12,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2021-11-25,True,47,2021,5.0,2.0
13,DLN5,A00124417,血氣分析專用採血器 3 cc,2.0,2022/1/17,True,3,2022,5.0,2.0
14,DLN5,A00124417,血氣分析專用採血器 3 cc,2.0,2022/2/10,True,6,2022,5.0,2.0
15,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/2/11,True,6,2022,5.0,2.0
16,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/2/20,False,7,2022,5.0,2.0
17,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/4/10,False,14,2022,3.0,4.0
18,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/5/7,True,18,2022,5.0,2.0
19,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/5/17,True,20,2022,5.0,2.0
20,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/7/17,False,28,2022,5.0,2.0
21,DLN5,A00124417,血氣分析專用採血器 3 cc,3.0,2022/8/14,False,32,2022,5.0,2.0
22,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/8/8,True,32,2022,5.0,2.0
23,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/8/24,True,34,2022,5.0,2.0
24,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/8/26,True,34,2022,5.0,2.0
25,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/8/29,True,35,2022,5.0,2.0
26,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/9/7,True,36,2022,4.0,3.0
27,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/9/28,True,39,2022,5.0,2.0
28,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/9/29,True,39,2022,5.0,2.0
29,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/10/11,True,41,2022,4.0,3.0
30,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/10/18,True,42,2022,5.0,2.0
31,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/10/26,True,43,2022,5.0,2.0
32,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/11/17,True,46,2022,5.0,2.0
33,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/11/18,True,46,2022,5.0,2.0
34,DLN5,A00124417,血氣分析專用採血器 3 cc,2.0,2022/12/6,True,49,2022,5.0,2.0
35,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/12/7,True,49,2022,5.0,2.0
36,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/12/8,True,49,2022,5.0,2.0
37,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/12/12,True,50,2022,5.0,2.0
38,DLN5,A00124417,血氣分析專用採血器 3 cc,1.0,2022/12/29,True,52,2022,5.0,3.0
