,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數
0,DLN5,A02120275,塑膠注射針頭,1.0,2020-09-07,True,37,2020,5.0,2.0
1,DLN5,A02120275,塑膠注射針頭,1.0,2020-11-09,True,46,2020,5.0,2.0
2,DLN5,A02120275,塑膠注射針頭,1.0,2020-12-10,True,50,2020,5.0,2.0
3,DLN5,A02120275,塑膠注射針頭,1.0,2020-12-14,True,51,2020,5.0,2.0
4,DLN5,A02120275,塑膠注射針頭,1.0,2020-12-18,True,51,2020,5.0,2.0
5,DLN5,A02120275,塑膠注射針頭,1.0,2021-01-08,True,1,2021,5.0,2.0
6,DLN5,A02120275,塑膠注射針頭,1.0,2021-01-13,True,2,2021,5.0,2.0
7,DLN5,A02120275,塑膠注射針頭,1.0,2021-01-21,True,3,2021,5.0,2.0
8,DLN5,A02120275,塑膠注射針頭,1.0,2021-01-29,True,4,2021,5.0,2.0
9,DLN5,A02120275,塑膠注射針頭,1.0,2021-02-01,True,5,2021,5.0,2.0
10,DLN5,A02120275,塑膠注射針頭,1.0,2021-02-01,True,5,2021,5.0,2.0
11,DLN5,A02120275,塑膠注射針頭,1.0,2021-02-05,True,5,2021,5.0,2.0
12,DLN5,A02120275,塑膠注射針頭,1.0,2021-02-19,True,7,2021,3.0,4.0
13,DLN5,A02120275,塑膠注射針頭,1.0,2021-02-19,True,7,2021,3.0,4.0
14,DLN5,A02120275,塑膠注射針頭,1.0,2021-02-22,True,8,2021,5.0,2.0
15,DLN5,A02120275,塑膠注射針頭,1.0,2021-02-24,True,8,2021,5.0,2.0
16,DLN5,A02120275,塑膠注射針頭,1.0,2021-02-26,True,8,2021,5.0,2.0
17,DLN5,A02120275,塑膠注射針頭,1.0,2021-03-15,True,11,2021,5.0,2.0
18,DLN5,A02120275,塑膠注射針頭,1.0,2021-04-01,True,13,2021,4.0,3.0
19,DLN5,A02120275,塑膠注射針頭,2.0,2021-04-06,True,14,2021,4.0,3.0
20,DLN5,A02120275,塑膠注射針頭,1.0,2021-04-06,True,14,2021,4.0,3.0
21,DLN5,A02120275,塑膠注射針頭,1.0,2021-04-09,True,14,2021,4.0,3.0
22,DLN5,A02120275,塑膠注射針頭,1.0,2021-04-14,True,15,2021,5.0,2.0
23,DLN5,A02120275,塑膠注射針頭,1.0,2021-04-26,True,17,2021,5.0,2.0
24,DLN5,A02120275,塑膠注射針頭,1.0,2021-04-28,True,17,2021,5.0,2.0
25,DLN5,A02120275,塑膠注射針頭,1.0,2021-04-30,True,17,2021,5.0,2.0
