料號,品名,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12
A00120025,2.5-3cc PVC 注射空針,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
A00120033,2.5-3cc PVC 注射空針,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0
A00120059,5cc塑膠注射空針,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00120067,5cc 塑膠注射空針,18.0,4.0,11.0,21.0,12.0,3.0,8.0,6.0,15.0,6.0,12.0,2.0
A00120102,10cc塑膠注射空針 有螺紋,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
A00120110,10cc塑膠注射空針 無螺紋,28.0,4.0,13.0,4.0,34.0,0.0,2.0,12.0,20.0,16.0,8.0,21.0
A00124417,血氣分析專用採血器 3 cc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
A02312182,〞美迪克〞安全性靜脈留置針  24G,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02320340,〞美迪克〞安全性靜脈留置針  20G,1.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0
A02322259,〞美迪克〞安全性靜脈留置針  22G,8.0,6.0,9.0,3.0,19.0,1.0,6.0,15.0,6.0,14.0,6.0,10.0
A04200004,精密輸液套附Y加藥座120c.c硬bag,2.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0
A04411285,全拋式採血器,111.0,61.0,27.0,70.0,3.0,0.0,73.0,121.0,190.0,169.0,233.0,429.0
A04800036,靜脈輸液套，附Y加葯管,3.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0
B03106859,人工薄膜,11.0,4.0,7.0,8.0,10.0,1.0,4.0,8.0,4.0,9.0,8.0,3.0
B13700102,有粉乳膠檢診手套,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0
C00123169,二叉矽質導尿管-16Fr,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00211075,橡皮導尿管1wayNo14美規,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0
C02113123,抽痰管，內含手控接頭,6.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C02723000,氧氣鼻管 O2雙管 2-Way,3.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C13830005,IV注射帽,2.0,0.0,4.0,2.0,4.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
C13930399,T型連接管,9.0,4.0,6.0,7.0,9.0,1.0,4.0,8.0,4.0,6.0,8.0,3.0
C13931431,安全注射器回拉式3ml,10.0,7.0,22.0,18.0,24.0,3.0,12.0,21.0,3.0,6.0,14.0,21.0
C13941807,抽痰連接管,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F01321004,廢液收集器-開刀房區(有止溢閥),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G81500272,血糖試紙,114.0,63.0,28.0,70.0,3.0,0.0,70.0,119.0,193.0,170.0,233.0,428.0
J00202001,蓄尿袋,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J00202019,勤達豪華型尿袋 (滅菌),1.0,7.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K80004044,Push Button Blood Collection,45.0,80.0,91.0,66.0,54.0,87.0,66.0,87.0,85.0,103.0,86.0,84.0
T01101016,氧氣口罩成人含接管,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T04220215,微量噴霧器,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U91700000,丟棄式導尿包,3.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B08143445,紗布墊 4〞X4〞X8Ply,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
