料號,品名,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12
A00120017,1cc PVC注射空針 無螺紋,1.0,0.0,12.0,4.0,0.0,0.0,15.0,0.0,0.0,0.0,6.0,0.0
A00120025,2.5-3cc PVC 注射空針,99.0,3.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,3.0,2.0
A00120033,2.5-3cc PVC 注射空針,780.0,720.0,945.0,857.0,752.0,772.0,1095.0,641.0,687.0,573.0,664.0,476.0
A00120059,5cc塑膠注射空針,14.0,14.0,16.0,1.0,4.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0
A00120067,5cc 塑膠注射空針,201.0,142.0,195.0,254.0,246.0,257.0,515.0,262.0,286.0,222.0,376.0,204.0
A00120102,10cc塑膠注射空針 有螺紋,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0
A00120110,10cc塑膠注射空針 無螺紋,619.0,479.0,467.0,536.0,611.0,642.0,883.0,627.0,600.0,540.0,638.0,452.0
A00120213,20CC塑膠注射空針直插  (無螺紋),1187.0,1018.0,1262.0,1331.0,1462.0,1357.0,1661.0,1370.0,1434.0,1078.0,1323.0,982.0
A00120308,塑膠注射器 30cc有螺,8.0,4.0,4.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
A00120504,50cc塑膠注射空針-非螺紋,20.0,18.0,33.0,20.0,33.0,17.0,15.0,36.0,38.0,31.0,22.0,21.0
A00124417,血氣分析專用採血器 3 cc,10.0,22.0,40.0,20.0,26.0,34.0,64.0,24.0,24.0,36.0,24.0,15.0
A00421174,BD滑蓋式胰島素安全注射筒附針,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0
A00421190,胰島素安全注射筒附針-30G,109.0,84.0,208.0,155.0,112.0,453.0,238.0,261.0,89.0,221.0,108.0,109.0
A01130509,塑膠灌食空針,63.0,48.0,46.0,49.0,64.0,81.0,82.0,51.0,60.0,53.0,66.0,32.0
A02120180,塑膠注射針頭,1417.0,1182.0,1409.0,1532.0,1772.0,1518.0,1867.0,1503.0,1569.0,1169.0,1427.0,1103.0
A02312182,〞美迪克〞安全性靜脈留置針  24G,15.0,10.0,16.0,18.0,5.0,20.0,15.0,11.0,6.0,6.0,49.0,17.0
A02320160,靜脈留置針-16G,1.0,1.0,8.0,7.0,5.0,2.0,2.0,0.0,4.0,5.0,5.0,5.0
A02320186,靜脈留置針-18G,6.0,5.0,6.0,12.0,6.0,5.0,6.0,7.0,7.0,4.0,9.0,8.0
A02320340,〞美迪克〞安全性靜脈留置針  20G,205.0,190.0,179.0,229.0,314.0,243.0,327.0,299.0,350.0,214.0,222.0,125.0
A02322259,〞美迪克〞安全性靜脈留置針  22G,401.0,292.0,429.0,302.0,328.0,400.0,399.0,296.0,321.0,290.0,361.0,350.0
A03010025,PORT-A安全彎針附蝴蝶翼輸液套組20Gx0.75〞,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A03010041,PORT-A安全彎針附蝴蝶翼輸液套組22Gx0.75〞,6.0,10.0,14.0,17.0,9.0,7.0,9.0,3.0,0.0,0.0,1.0,0.0
A03295054,安全式注射筆專用針,181.0,182.0,193.0,180.0,229.0,199.0,135.0,239.0,260.0,156.0,266.0,258.0
A04030052,餵食引導器 (未滅菌),3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0
A04200004,精密輸液套附Y加藥座120c.c硬bag,219.0,176.0,209.0,191.0,221.0,216.0,252.0,205.0,201.0,189.0,228.0,175.0
A04300023,急速輸血套附Y型管,66.0,56.0,39.0,45.0,58.0,56.0,70.0,35.0,48.0,51.0,39.0,38.0
A04411285,全拋式採血器,1906.0,1746.0,1643.0,1535.0,2060.0,2301.0,2331.0,2325.0,2413.0,1993.0,2325.0,2293.0
A04411370,胰島素筆型注射器針頭32G x 4mm,93.0,69.0,50.0,62.0,113.0,30.0,46.0,74.0,102.0,35.0,70.0,33.0
A04800036,靜脈輸液套，附Y加葯管,130.0,106.0,137.0,115.0,111.0,111.0,138.0,124.0,109.0,70.0,108.0,75.0
A10122001,腰椎穿刺針-22G,6.0,0.0,3.0,2.0,9.0,3.0,0.0,11.0,0.0,2.0,0.0,1.0
