料號,品名,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12
A00120017,1cc PVC注射空針 無螺紋,80.0,48.0,34.0,39.0,40.0,31.0,27.0,36.0,14.0,15.0,43.0,51.0
A00120025,2.5-3cc PVC 注射空針,1624.0,1320.0,1053.0,1679.0,1427.0,1622.0,1476.0,1531.0,1307.0,970.0,1268.0,1240.0
A00120059,5cc塑膠注射空針,1007.0,974.0,720.0,1132.0,1026.0,1160.0,1059.0,941.0,841.0,636.0,917.0,769.0
A00120067,5cc 塑膠注射空針,2.0,3.0,3.0,6.0,2.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0
A00120102,10cc塑膠注射空針 有螺紋,586.0,721.0,458.0,749.0,713.0,796.0,818.0,600.0,505.0,518.0,698.0,566.0
A00120110,10cc塑膠注射空針 無螺紋,2.0,7.0,3.0,11.0,2.0,6.0,3.0,4.0,3.0,6.0,6.0,1.0
A00120213,20CC塑膠注射空針直插  (無螺紋),1154.0,1068.0,739.0,1175.0,1071.0,1242.0,1210.0,1161.0,879.0,951.0,960.0,809.0
A00120504,50cc塑膠注射空針-非螺紋,268.0,438.0,190.0,380.0,252.0,393.0,283.0,360.0,155.0,183.0,276.0,333.0
A00124417,血氣分析專用採血器 3 cc,250.0,173.0,125.0,209.0,194.0,272.0,202.0,240.0,194.0,182.0,181.0,228.0
A00421108,1cc 胰島素注射空針-31G,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00421174,BD滑蓋式胰島素安全注射筒附針,10.0,0.0,0.0,7.0,4.0,0.0,0.0,7.0,2.0,3.0,9.0,7.0
A00421190,胰島素安全注射筒附針-30G,138.0,165.0,82.0,177.0,150.0,96.0,126.0,120.0,171.0,99.0,79.0,110.0
A01130509,塑膠灌食空針,42.0,39.0,45.0,46.0,44.0,65.0,61.0,51.0,54.0,46.0,37.0,29.0
A02120180,塑膠注射針頭,27.0,39.0,21.0,18.0,18.0,84.0,78.0,116.0,85.0,129.0,85.0,112.0
A02312182,〞美迪克〞安全性靜脈留置針  24G,16.0,5.0,4.0,8.0,5.0,4.0,2.0,4.0,6.0,5.0,4.0,4.0
A02318314,〞美迪克〞安全性靜脈留置針,4.0,0.0,0.0,0.0,10.0,5.0,4.0,6.0,6.0,5.0,16.0,5.0
A02320186,靜脈留置針-18G,3.0,3.0,2.0,4.0,10.0,5.0,5.0,4.0,4.0,2.0,3.0,1.0
A02320205,靜脈留置針-20G,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02320340,〞美迪克〞安全性靜脈留置針  20G,274.0,205.0,163.0,236.0,204.0,245.0,298.0,281.0,242.0,212.0,187.0,172.0
A02322259,〞美迪克〞安全性靜脈留置針  22G,92.0,87.0,60.0,95.0,65.0,92.0,81.0,87.0,100.0,40.0,77.0,66.0
A03295054,安全式注射筆專用針,48.0,25.0,38.0,40.0,81.0,35.0,24.0,18.0,33.0,14.0,41.0,39.0
A04030052,餵食引導器 (未滅菌),1.0,1.0,0.0,3.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,1.0
A04119488,幫浦輸液套(含加藥筒),18.0,21.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A04200020,精密控制輸液套附免針加藥座,94.0,86.0,61.0,86.0,83.0,81.0,89.0,95.0,77.0,74.0,80.0,50.0
A04200038,安全靜脈點滴輸液套(免針式),82.0,99.0,86.0,148.0,101.0,100.0,98.0,82.0,104.0,88.0,65.0,75.0
A04300023,急速輸血套附Y型管,55.0,66.0,49.0,63.0,64.0,37.0,81.0,62.0,50.0,58.0,39.0,65.0
A04411285,全拋式採血器,789.0,630.0,508.0,664.0,773.0,701.0,605.0,831.0,778.0,616.0,696.0,700.0
A46441986,幫浦輸液套(一般型),51.0,57.0,41.0,45.0,60.0,71.0,90.0,54.0,43.0,39.0,51.0,46.0
A46445209,幫浦輸液套 (含加藥筒),1.0,6.0,3.0,12.0,9.0,7.0,9.0,15.0,5.0,14.0,5.0,9.0
B00204053,彈性繃帶-非滅菌,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
B00206057,彈性繃帶-非滅菌,1.0,0.0,1.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
B00304056,彈性紗捲,3.0,0.0,29.0,8.0,2.0,10.0,4.0,4.0,2.0,0.0,4.0,6.0
B00306050,彈性紗捲,1.0,0.0,28.0,11.0,3.0,6.0,1.0,4.0,5.0,1.0,2.0,8.0
B03106859,人工薄膜,303.0,269.0,222.0,233.0,274.0,310.0,300.0,258.0,249.0,245.0,251.0,229.0
B03110120,人工薄膜,65.0,80.0,67.0,58.0,66.0,103.0,115.0,23.0,49.0,45.0,77.0,90.0
B03215340,嬰幼兒專用膠帶,2.0,1.0,8.0,5.0,8.0,3.0,3.0,3.0,1.0,0.0,3.0,3.0
B05469023,6吋棉棒,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,24.0,20.0,24.0,15.0,23.0,14.0,18.0,23.0,15.0,19.0,21.0,31.0
B05904451,看護墊,3.0,10.0,6.0,0.0,1.0,1.0,5.0,0.0,1.0,4.0,14.0,14.0
B08143445,紗布墊 4〞X4〞X8Ply,25.0,20.0,42.0,23.0,25.0,22.0,20.0,22.0,18.0,22.0,73.0,32.0
B13500651,無菌手套 6.5 Fr有粉,1.0,1.0,3.0,4.0,7.0,9.0,5.0,4.0,0.0,4.0,2.0,5.0
B13500704,無菌手套 7.0 Fr有粉,11.0,7.0,8.0,1.0,1.0,10.0,12.0,14.0,13.0,8.0,9.0,7.0
B13500807,無菌手套 8.0 Fr有粉,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
C00120142,二叉留置導尿管14FR,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
