料號,品名,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12
A00120017,1cc PVC注射空針 無螺紋,10.0,7.0,5.0,20.0,23.0,25.0,43.0,17.0,6.0,0.0,0.0,4.0
A00120025,2.5-3cc PVC 注射空針,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A00120033,2.5-3cc PVC 注射空針,83.0,58.0,38.0,45.0,32.0,61.0,27.0,56.0,29.0,27.0,28.0,39.0
A00120067,5cc 塑膠注射空針,65.0,27.0,14.0,22.0,43.0,71.0,32.0,41.0,30.0,30.0,34.0,19.0
A00120110,10cc塑膠注射空針 無螺紋,216.0,109.0,73.0,129.0,210.0,217.0,169.0,109.0,78.0,95.0,99.0,51.0
A00120213,20CC塑膠注射空針直插  (無螺紋),167.0,46.0,75.0,32.0,103.0,106.0,47.0,23.0,33.0,25.0,51.0,50.0
A00120504,50cc塑膠注射空針-非螺紋,5.0,2.0,6.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
A00124417,血氣分析專用採血器 3 cc,2.0,8.0,0.0,4.0,3.0,2.0,1.0,1.0,2.0,10.0,2.0,2.0
A00421190,胰島素安全注射筒附針-30G,567.0,437.0,492.0,478.0,427.0,396.0,381.0,376.0,202.0,151.0,197.0,242.0
A01130509,塑膠灌食空針,3.0,1.0,0.0,4.0,1.0,3.0,2.0,79.0,60.0,62.0,54.0,50.0
A02120180,塑膠注射針頭,206.0,55.0,86.0,54.0,143.0,142.0,78.0,35.0,49.0,48.0,70.0,66.0
A02312182,〞美迪克〞安全性靜脈留置針  24G,2.0,3.0,0.0,12.0,7.0,8.0,4.0,2.0,0.0,0.0,0.0,1.0
A02320340,〞美迪克〞安全性靜脈留置針  20G,17.0,19.0,3.0,7.0,7.0,10.0,2.0,24.0,6.0,2.0,13.0,5.0
A02322259,〞美迪克〞安全性靜脈留置針  22G,56.0,38.0,30.0,21.0,67.0,89.0,44.0,15.0,13.0,21.0,45.0,57.0
A03010025,PORT-A安全彎針附蝴蝶翼輸液套組20Gx0.75〞,4.0,1.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,1.0,2.0
A03010033,PORT-A安全彎針附蝴蝶翼輸液套組20Gx1〞,1.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0
A03010382,PORT-A安全彎針附蝴蝶翼輸液套組20Gx1.5〞,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0
A03295054,安全式注射筆專用針,214.0,204.0,216.0,198.0,200.0,178.0,158.0,192.0,148.0,158.0,149.0,159.0
A04030052,餵食引導器 (未滅菌),122.0,79.0,92.0,95.0,99.0,96.0,91.0,94.0,76.0,77.0,83.0,78.0
A04120306,幫浦輸液套(一般型),9.0,5.0,0.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,4.0,0.0
A04200004,精密輸液套附Y加藥座120c.c硬bag,34.0,13.0,16.0,15.0,29.0,22.0,17.0,8.0,12.0,11.0,16.0,12.0
A04300023,急速輸血套附Y型管,14.0,20.0,5.0,8.0,8.0,5.0,16.0,10.0,0.0,10.0,4.0,1.0
A04411285,全拋式採血器,345.0,137.0,173.0,191.0,362.0,247.0,243.0,395.0,98.0,19.0,47.0,138.0
A04800036,靜脈輸液套，附Y加葯管,7.0,18.0,2.0,9.0,14.0,18.0,10.0,12.0,8.0,15.0,13.0,11.0
B03106859,人工薄膜,47.0,31.0,14.0,27.0,53.0,60.0,27.0,28.0,15.0,12.0,31.0,25.0
B03110120,人工薄膜,12.0,4.0,13.0,12.0,47.0,24.0,12.0,19.0,9.0,10.0,19.0,9.0
B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,5.0,1.0
B08143445,紗布墊 4〞X4〞X8Ply,1.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0
B13500704,無菌手套 7.0 Fr有粉,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0
C00120168,二叉留置導尿管16FR,1.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,1.0,2.0,1.0
C00120184,二叉留置導尿管18FR,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C00120203,二叉留置導尿管20FR,1.0,1.0,0.0,5.0,10.0,8.0,4.0,6.0,4.0,5.0,5.0,4.0
C00123169,二叉矽質導尿管-16Fr,4.0,5.0,5.0,5.0,6.0,7.0,10.0,6.0,5.0,3.0,6.0,7.0
C00123185,二叉矽質導尿管-18Fr,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0
C00123204,二叉矽質導尿管-20Fr,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C00132205,三叉導尿管(矽質)-20FR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C00211075,橡皮導尿管1wayNo14美規,1.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,3.0,2.0,1.0,2.0
C00733004,3 Lumen  輸液導管組,3.0,1.0,1.0,0.0,3.0,3.0,0.0,2.0,1.0,1.0,4.0,1.0
C02514164,矽質胃管  16FR,17.0,14.0,13.0,16.0,16.0,15.0,13.0,13.0,12.0,11.0,14.0,14.0
C02514180,矽質胃管  18FR,9.0,7.0,9.0,9.0,9.0,8.0,9.0,9.0,7.0,8.0,6.0,5.0
C09113003,加長型氣切套管,8.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,7.0
C09113011,加長型氣切套管  No.7.0,5.0,3.0,7.0,6.0,8.0,6.0,8.0,4.0,3.0,4.0,2.0,4.0
C13830005,IV注射帽,8.0,7.0,3.0,8.0,8.0,13.0,5.0,5.0,3.0,4.0,3.0,2.0
C13930399,T型連接管,40.0,25.0,10.0,15.0,32.0,44.0,18.0,18.0,14.0,10.0,24.0,24.0
D00320301,3-0 尼龍線  Nylon,1.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,4.0,1.0
F36005006,單一無菌引流袋 500cc,5.0,1.0,2.0,7.0,2.0,4.0,5.0,6.0,4.0,2.0,2.0,3.0
F41200000,痰液收集器,2.0,0.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
G81500272,血糖試紙,347.0,136.0,174.0,190.0,366.0,247.0,245.0,400.0,98.0,21.0,48.0,138.0
I16200040,CPUI用細菌過濾器,8.0,8.0,0.0,24.0,0.0,11.0,13.0,11.0,9.0,24.0,8.0,11.0
J00202019,勤達豪華型尿袋 (滅菌),49.0,34.0,32.0,44.0,47.0,42.0,52.0,57.0,41.0,49.0,45.0,50.0
K80004044,Push Button Blood Collection,62.0,57.0,30.0,61.0,70.0,63.0,55.0,43.0,33.0,83.0,51.0,41.0
K82430329,痰盒-綠蓋,7.0,2.0,0.0,6.0,5.0,2.0,3.0,0.0,1.0,2.0,4.0,4.0
T00030706,微量噴霧器,21.0,10.0,18.0,9.0,20.0,19.0,21.0,16.0,15.0,12.0,5.0,16.0
T01410759,氣切口罩,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T01612024,不再吸入口罩,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T01910532,丟棄式人工甦醒球,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
T04220215,微量噴霧器,3.0,11.0,3.0,13.0,2.0,2.0,5.0,1.0,3.0,2.0,7.0,2.0
T50412005,Edith,1.0,0.0,3.0,5.0,0.0,9.0,16.0,8.0,0.0,1.0,1.0,0.0
U00202042,塑膠三路考克 3Way附Luer Lock,3.0,0.0,1.0,2.0,1.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0
U90480016,中央靜脈導管包布,1.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0
U91700000,丟棄式導尿包,14.0,12.0,8.0,15.0,21.0,21.0,23.0,18.0,17.0,16.0,19.0,21.0
V00400273,潤滑凍膏 2.7-3GM(滅菌),7.0,11.0,3.0,6.0,10.0,17.0,13.0,12.0,13.0,12.0,8.0,6.0
V02204118,手術刀片,5.0,1.0,2.0,0.0,2.0,7.0,5.0,1.0,4.0,3.0,4.0,1.0
A00120059,5cc塑膠注射空針,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
A00421174,BD滑蓋式胰島素安全注射筒附針,0.0,1.0,0.0,0.0,37.0,60.0,64.0,61.0,60.0,61.0,63.0,63.0
B13500651,無菌手套 6.5 Fr有粉,0.0,1.0,0.0,1.0,4.0,0.0,0.0,4.0,5.0,0.0,4.0,1.0
C00130201,三叉導尿管(矽化塗層)-20Fr,0.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,4.0,2.0,2.0,3.0
C02113123,抽痰管，內含手控接頭,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C02911226,灌腸管,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
T01300007,多重濃度氧氣口罩,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
T04300238,噴藥用輔助器,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Y12876309,康威 多愛膚超薄型敷料(人工皮),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02120233,塑膠注射針頭,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B08518181,滅菌腹部墊18x18〞(45x45cm),0.0,0.0,3.0,14.0,12.0,10.0,16.0,0.0,0.0,0.0,2.0,0.0
B10137087,愛康膚銀親水性纖維膚料,0.0,0.0,1.0,10.0,13.0,9.0,10.0,1.0,0.0,0.0,0.0,0.0
C02513167,鼻胃管16Fr  可顯影125cm,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
C02723000,氧氣鼻管 O2雙管 2-Way,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
C08224755,氣管內管PVC,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C14000004,輸液延長管,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
A02320186,靜脈留置針-18G,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
A04200020,精密控制輸液套附免針加藥座,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B03600101,紙洞巾-外科覆蓋巾 含背膠,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
B03647700,紙治療巾,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
