料號,品名,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12
A00120025,2.5-3cc PVC 注射空針,75.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A00120033,2.5-3cc PVC 注射空針,826.0,629.0,877.0,725.0,551.0,569.0,714.0,708.0,744.0,706.0,727.0,682.0
A00120059,5cc塑膠注射空針,10.0,4.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
A00120067,5cc 塑膠注射空針,593.0,437.0,662.0,557.0,570.0,433.0,720.0,630.0,734.0,569.0,547.0,615.0
A00120102,10cc塑膠注射空針 有螺紋,5.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
A00120110,10cc塑膠注射空針 無螺紋,851.0,504.0,753.0,445.0,482.0,628.0,937.0,634.0,665.0,557.0,757.0,661.0
A00120213,20CC塑膠注射空針直插  (無螺紋),274.0,180.0,204.0,141.0,195.0,302.0,201.0,173.0,213.0,92.0,159.0,199.0
A00120504,50cc塑膠注射空針-非螺紋,8.0,5.0,6.0,3.0,7.0,7.0,2.0,13.0,9.0,5.0,7.0,12.0
A00124417,血氣分析專用採血器 3 cc,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
A00421108,1cc 胰島素注射空針-31G,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00421190,胰島素安全注射筒附針-30G,67.0,25.0,14.0,60.0,28.0,38.0,27.0,37.0,47.0,42.0,36.0,73.0
A01130509,塑膠灌食空針,12.0,9.0,10.0,3.0,11.0,16.0,13.0,7.0,25.0,7.0,4.0,6.0
A02120180,塑膠注射針頭,238.0,114.0,155.0,103.0,116.0,192.0,194.0,119.0,123.0,76.0,143.0,133.0
A02120275,塑膠注射針頭,4.0,8.0,1.0,9.0,5.0,5.0,6.0,6.0,8.0,4.0,0.0,4.0
A02312182,〞美迪克〞安全性靜脈留置針  24G,10.0,8.0,4.0,6.0,9.0,16.0,26.0,9.0,2.0,0.0,2.0,2.0
A02320340,〞美迪克〞安全性靜脈留置針  20G,226.0,149.0,219.0,159.0,179.0,149.0,162.0,242.0,189.0,161.0,224.0,159.0
A02322259,〞美迪克〞安全性靜脈留置針  22G,227.0,128.0,234.0,152.0,132.0,223.0,303.0,170.0,185.0,158.0,253.0,204.0
A03010025,PORT-A安全彎針附蝴蝶翼輸液套組20Gx0.75〞,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A03010041,PORT-A安全彎針附蝴蝶翼輸液套組22Gx0.75〞,10.0,31.0,20.0,34.0,16.0,16.0,12.0,25.0,28.0,24.0,14.0,26.0
A03295054,安全式注射筆專用針,96.0,58.0,30.0,18.0,81.0,91.0,67.0,83.0,207.0,34.0,44.0,92.0
A04200004,精密輸液套附Y加藥座120c.c硬bag,282.0,181.0,241.0,209.0,192.0,210.0,229.0,219.0,214.0,197.0,209.0,201.0
