料號,品名,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12
A00120033,2.5-3cc PVC 注射空針,522.0,749.0,942.0,1031.0,780.0,683.0,774.0,919.0,742.0,850.0,828.0,862.0
A00120067,5cc 塑膠注射空針,290.0,555.0,599.0,537.0,392.0,638.0,616.0,776.0,693.0,663.0,721.0,670.0
A00120102,10cc塑膠注射空針 有螺紋,1.0,4.0,0.0,0.0,2.0,1.0,5.0,6.0,0.0,4.0,1.0,1.0
A00120110,10cc塑膠注射空針 無螺紋,383.0,679.0,725.0,958.0,1071.0,1027.0,977.0,1045.0,966.0,797.0,820.0,665.0
A00120213,20CC塑膠注射空針直插  (無螺紋),140.0,128.0,422.0,750.0,325.0,367.0,297.0,379.0,220.0,224.0,133.0,202.0
A00120308,塑膠注射器 30cc有螺,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00120504,50cc塑膠注射空針-非螺紋,5.0,12.0,20.0,15.0,27.0,20.0,10.0,3.0,4.0,11.0,9.0,15.0
A00421190,胰島素安全注射筒附針-30G,7.0,46.0,144.0,109.0,85.0,120.0,33.0,46.0,80.0,124.0,45.0,87.0
A01130509,塑膠灌食空針,2.0,5.0,15.0,14.0,11.0,7.0,2.0,9.0,3.0,18.0,11.0,10.0
A02120180,塑膠注射針頭,60.0,67.0,253.0,424.0,209.0,269.0,197.0,235.0,177.0,149.0,121.0,153.0
A02312182,〞美迪克〞安全性靜脈留置針  24G,13.0,21.0,18.0,18.0,21.0,4.0,7.0,4.0,14.0,8.0,5.0,9.0
A02320340,〞美迪克〞安全性靜脈留置針  20G,113.0,233.0,305.0,159.0,182.0,209.0,235.0,216.0,209.0,232.0,238.0,218.0
A02322259,〞美迪克〞安全性靜脈留置針  22G,65.0,152.0,287.0,270.0,221.0,179.0,186.0,220.0,200.0,184.0,194.0,195.0
A03010025,PORT-A安全彎針附蝴蝶翼輸液套組20Gx0.75〞,25.0,23.0,20.0,22.0,24.0,18.0,18.0,11.0,19.0,24.0,21.0,28.0
A03010033,PORT-A安全彎針附蝴蝶翼輸液套組20Gx1〞,4.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0
A03295054,安全式注射筆專用針,13.0,72.0,175.0,283.0,134.0,103.0,69.0,87.0,65.0,70.0,63.0,66.0
A04120306,幫浦輸液套(一般型),29.0,44.0,52.0,24.0,24.0,25.0,36.0,16.0,19.0,26.0,20.0,9.0
A04200004,精密輸液套附Y加藥座120c.c硬bag,127.0,202.0,222.0,276.0,234.0,241.0,264.0,264.0,276.0,244.0,251.0,242.0
A04200020,精密控制輸液套附免針加藥座,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A04300023,急速輸血套附Y型管,12.0,29.0,42.0,40.0,32.0,18.0,29.0,26.0,21.0,20.0,31.0,22.0
A04411285,全拋式採血器,266.0,527.0,1222.0,1704.0,1150.0,970.0,993.0,971.0,868.0,963.0,696.0,880.0
A04411370,胰島素筆型注射器針頭32G x 4mm,7.0,2.0,66.0,72.0,73.0,86.0,98.0,10.0,15.0,46.0,47.0,3.0
A04800036,靜脈輸液套，附Y加葯管,23.0,65.0,100.0,131.0,63.0,72.0,58.0,128.0,82.0,108.0,71.0,69.0
