料號,品名,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12
A00120017,1cc PVC注射空針 無螺紋,10.0,17.0,10.0,5.0,17.0,5.0,6.0,7.0,15.0,1.0,3.0,9.0
A00120033,2.5-3cc PVC 注射空針,626.0,528.0,674.0,620.0,534.0,529.0,507.0,500.0,572.0,631.0,586.0,507.0
A00120059,5cc塑膠注射空針,12.0,0.0,2.0,1.0,2.0,6.0,1.0,1.0,1.0,3.0,2.0,3.0
A00120067,5cc 塑膠注射空針,211.0,157.0,214.0,242.0,237.0,312.0,287.0,245.0,282.0,244.0,160.0,198.0
A00120110,10cc塑膠注射空針 無螺紋,666.0,599.0,931.0,946.0,696.0,621.0,851.0,862.0,701.0,699.0,655.0,451.0
A00120213,20CC塑膠注射空針直插  (無螺紋),332.0,233.0,312.0,417.0,375.0,405.0,472.0,469.0,294.0,307.0,257.0,362.0
A00120308,塑膠注射器 30cc有螺,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
A00120504,50cc塑膠注射空針-非螺紋,17.0,41.0,40.0,36.0,74.0,67.0,32.0,68.0,30.0,44.0,37.0,73.0
A00421174,BD滑蓋式胰島素安全注射筒附針,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
A00421190,胰島素安全注射筒附針-30G,89.0,75.0,81.0,189.0,121.0,17.0,48.0,67.0,85.0,31.0,65.0,77.0
A00520051,真空採血器,3.0,3.0,3.0,15.0,7.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0
A01130509,塑膠灌食空針,22.0,15.0,22.0,22.0,19.0,16.0,14.0,19.0,20.0,13.0,7.0,17.0
A02120180,塑膠注射針頭,668.0,589.0,712.0,912.0,705.0,786.0,994.0,985.0,650.0,691.0,576.0,667.0
A02312182,〞美迪克〞安全性靜脈留置針  24G,8.0,11.0,16.0,11.0,8.0,10.0,11.0,7.0,7.0,14.0,21.0,7.0
A02320186,靜脈留置針-18G,1.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0
A02320340,〞美迪克〞安全性靜脈留置針  20G,136.0,106.0,180.0,153.0,164.0,131.0,173.0,125.0,136.0,120.0,127.0,92.0
A02322259,〞美迪克〞安全性靜脈留置針  22G,243.0,188.0,241.0,254.0,170.0,232.0,294.0,252.0,194.0,171.0,195.0,157.0
A03010025,PORT-A安全彎針附蝴蝶翼輸液套組20Gx0.75〞,15.0,14.0,18.0,19.0,23.0,11.0,21.0,8.0,19.0,20.0,22.0,23.0
A03010033,PORT-A安全彎針附蝴蝶翼輸液套組20Gx1〞,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
A03295054,安全式注射筆專用針,122.0,90.0,131.0,104.0,110.0,42.0,70.0,196.0,100.0,44.0,113.0,54.0
A04030052,餵食引導器 (未滅菌),4.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
A04119488,幫浦輸液套(含加藥筒),4.0,0.0,2.0,3.0,2.0,5.0,0.0,0.0,2.0,1.0,2.0,4.0
A04120306,幫浦輸液套(一般型),23.0,24.0,37.0,23.0,24.0,42.0,31.0,20.0,26.0,25.0,25.0,25.0
A04200004,精密輸液套附Y加藥座120c.c硬bag,170.0,114.0,187.0,180.0,166.0,159.0,177.0,157.0,153.0,154.0,158.0,135.0
A04300023,急速輸血套附Y型管,33.0,39.0,28.0,23.0,20.0,21.0,36.0,45.0,26.0,18.0,19.0,15.0
A04411285,全拋式採血器,1405.0,739.0,1435.0,1435.0,1219.0,824.0,1029.0,1316.0,1123.0,807.0,1235.0,1149.0
A04411370,胰島素筆型注射器針頭32G x 4mm,28.0,64.0,84.0,139.0,46.0,6.0,22.0,77.0,87.0,8.0,23.0,162.0
A04800036,靜脈輸液套，附Y加葯管,44.0,23.0,30.0,62.0,47.0,32.0,44.0,59.0,32.0,48.0,51.0,38.0
A05124274,硝酸甘油輸液套,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0
A12101002,骨髓穿刺針,1.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0
B00306050,彈性紗捲,2.0,3.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,3.0,1.0
B03106859,人工薄膜,294.0,201.0,289.0,297.0,251.0,301.0,332.0,286.0,260.0,238.0,247.0,233.0
B03110120,人工薄膜,38.0,28.0,22.0,37.0,47.0,41.0,63.0,32.0,32.0,63.0,36.0,59.0
B04150042,免縫膠布,6.0,1.0,1.0,2.0,9.0,0.0,5.0,2.0,6.0,12.0,5.0,6.0
B04805109,豬尾巴導管組專用貼布(use for5~12F),1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,4.0,6.0,3.0,1.0,4.0,14.0,4.0,3.0,4.0,1.0,2.0
B08143445,紗布墊 4〞X4〞X8Ply,2.0,2.0,10.0,7.0,1.0,5.0,10.0,3.0,4.0,8.0,1.0,5.0
B10990159,清得佳敷料,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
