,Unnamed: 0,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數
0,0,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-01,1,False,2019,3.0,3.0
1,1,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-01,1,False,2019,3.0,3.0
2,2,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-01,1,False,2019,3.0,3.0
3,3,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-01,1,False,2019,3.0,3.0
4,4,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-01,1,False,2019,3.0,3.0
5,5,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,2.0,2019-01-01,1,False,2019,3.0,3.0
6,6,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-01,1,False,2019,3.0,3.0
7,7,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-02,1,True,2019,3.0,3.0
8,8,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-02,1,True,2019,3.0,3.0
9,9,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-02,1,True,2019,3.0,3.0
10,10,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-02,1,True,2019,3.0,3.0
11,11,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-02,1,True,2019,3.0,3.0
12,12,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-03,1,True,2019,3.0,3.0
13,13,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-03,1,True,2019,3.0,3.0
14,14,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-03,1,True,2019,3.0,3.0
15,15,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-03,1,True,2019,3.0,3.0
16,16,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-03,1,True,2019,3.0,3.0
17,17,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-03,1,True,2019,3.0,3.0
18,18,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-03,1,True,2019,3.0,3.0
19,19,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-03,1,True,2019,3.0,3.0
20,20,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-04,1,True,2019,3.0,3.0
21,21,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-04,1,True,2019,3.0,3.0
22,22,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-04,1,True,2019,3.0,3.0
23,23,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-04,1,True,2019,3.0,3.0
24,24,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-04,1,True,2019,3.0,3.0
25,25,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-04,1,True,2019,3.0,3.0
26,26,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-04,1,True,2019,3.0,3.0
27,27,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-05,1,False,2019,3.0,3.0
28,28,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,2.0,2019-01-05,1,False,2019,3.0,3.0
29,29,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-05,1,False,2019,3.0,3.0
30,30,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-06,1,False,2019,3.0,3.0
31,31,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-06,1,False,2019,3.0,3.0
32,32,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-12-30,1,True,2019,3.0,3.0
33,33,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-12-30,1,True,2019,3.0,3.0
34,34,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-12-30,1,True,2019,3.0,3.0
35,35,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-12-30,1,True,2019,3.0,3.0
36,36,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-12-30,1,True,2019,3.0,3.0
37,37,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-12-31,1,True,2019,3.0,3.0
38,38,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-12-31,1,True,2019,3.0,3.0
39,39,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-12-31,1,True,2019,3.0,3.0
40,40,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-12-31,1,True,2019,3.0,3.0
41,41,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-12-31,1,True,2019,3.0,3.0
42,42,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-12-31,1,True,2019,3.0,3.0
43,43,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-12-31,1,True,2019,3.0,3.0
44,44,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-12-31,1,True,2019,3.0,3.0
45,45,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-12-31,1,True,2019,3.0,3.0
46,46,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-12-31,1,True,2019,3.0,3.0
47,47,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-12-31,1,True,2019,3.0,3.0
48,48,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-07,2,True,2019,5.0,2.0
49,49,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-07,2,True,2019,5.0,2.0
50,50,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-07,2,True,2019,5.0,2.0
51,51,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-07,2,True,2019,5.0,2.0
52,52,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-07,2,True,2019,5.0,2.0
53,53,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-07,2,True,2019,5.0,2.0
54,54,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-07,2,True,2019,5.0,2.0
55,55,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-07,2,True,2019,5.0,2.0
56,56,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-07,2,True,2019,5.0,2.0
57,57,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-08,2,True,2019,5.0,2.0
58,58,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-08,2,True,2019,5.0,2.0
59,59,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-08,2,True,2019,5.0,2.0
60,60,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-08,2,True,2019,5.0,2.0
61,61,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-08,2,True,2019,5.0,2.0
62,62,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-08,2,True,2019,5.0,2.0
63,63,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-08,2,True,2019,5.0,2.0
64,64,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-09,2,True,2019,5.0,2.0
65,65,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-09,2,True,2019,5.0,2.0
66,66,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-09,2,True,2019,5.0,2.0
67,67,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-09,2,True,2019,5.0,2.0
68,68,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-09,2,True,2019,5.0,2.0
69,69,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-09,2,True,2019,5.0,2.0
70,70,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-09,2,True,2019,5.0,2.0
71,71,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-09,2,True,2019,5.0,2.0
72,72,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-09,2,True,2019,5.0,2.0
73,73,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-09,2,True,2019,5.0,2.0
74,74,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-09,2,True,2019,5.0,2.0
75,75,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-09,2,True,2019,5.0,2.0
76,76,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-09,2,True,2019,5.0,2.0
77,77,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-10,2,True,2019,5.0,2.0
78,78,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-10,2,True,2019,5.0,2.0
79,79,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-10,2,True,2019,5.0,2.0
80,80,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-10,2,True,2019,5.0,2.0
81,81,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-10,2,True,2019,5.0,2.0
82,82,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-10,2,True,2019,5.0,2.0
83,83,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-10,2,True,2019,5.0,2.0
84,84,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-11,2,True,2019,5.0,2.0
85,85,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,1.0,2019-01-11,2,True,2019,5.0,2.0
