,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-08-21,D00569558,2-0不可吸收多股-絲線不帶針,360-365cm不帶針滅菌(12包/盒),包,,0.0,0.0,0.0,0.0,1.0,1.0,34,,,,,,,,,,,,
1,2019-09-04,D00569558,2-0不可吸收多股-絲線不帶針,360-365cm不帶針滅菌(12包/盒),包,T,1.0,1.0,0.0,1.0,1.0,1.0,36,,,,,,,,,,,,
2,2019-09-11,D00569558,2-0不可吸收多股-絲線不帶針,360-365cm不帶針滅菌(12包/盒),包,T,1.0,1.0,0.0,1.0,1.0,1.0,37,,,,,,,,,,,,
0,2020-02-26,D00569558,2-0不可吸收多股-絲線不帶針,360-365cm不帶針滅菌(12包/盒),包,T,1.0,1.0,0.0,1.0,1.0,1.0,9,,,,,,,,,,,,
1,2020-09-02,D00569558,2-0不可吸收多股-絲線不帶針,360-365cm不帶針滅菌(12包/盒),包,T,1.0,1.0,0.0,1.0,1.0,1.0,36,,,,,,,,,,,,
2,2020-09-16,D00569558,2-0不可吸收多股-絲線不帶針,360-365cm不帶針滅菌(12包/盒),包,T,1.0,1.0,0.0,1.0,1.0,1.0,38,,,,,,,,,,,,
3,2020-09-23,D00569558,2-0不可吸收多股-絲線不帶針,360-365cm不帶針滅菌(12包/盒),包,T,1.0,1.0,0.0,1.0,1.0,1.0,39,,,,,,,,,,,,
4,2020-10-23,D00569558,2-0不可吸收多股-絲線不帶針,360-365cm不帶針滅菌(12包/盒),包,T,1.0,1.0,0.0,0.0,0.0,0.0,43,1.0,,,,,,,,,,,
0,2021-01-20,D00569558,2-0不可吸收多股-絲線不帶針,360-365cm不帶針滅菌(12包/盒),包,T,1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-01-23,D00569558,2-0不可吸收多股-絲線不帶針,360-365cm不帶針滅菌(12包/盒),包,T,1.0,0.0,0.0,-1.0,-1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-01-27,D00569558,2-0不可吸收多股-絲線不帶針,360-365cm不帶針滅菌(12包/盒),包,T,1.0,0.0,0.0,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-02-03,D00569558,2-0不可吸收多股-絲線不帶針,360-365cm不帶針滅菌(12包/盒),包,T,1.0,0.0,0.0,1.0,1.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-08-05,D00569558,2-0不可吸收多股-絲線不帶針,360-365cm不帶針滅菌(12包/盒),包,T,1.0,0.0,0.0,1.0,1.0,0.0,31,,,,,,,,,,,,
5,2021-11-12,D00569558,2-0不可吸收多股-絲線不帶針,360-365cm不帶針滅菌(12包/盒),包,T,1.0,0.0,0.0,1.0,1.0,0.0,45,,,,,,,,,,,,
