,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-09,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,2,,,,,,,,,,,,
1,2019-03-06,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,10,,,,,,,,,,,,
2,2019-04-10,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,15,,,,,,,,,,,,
3,2019-06-03,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,23,,,,,,,,,,,,
4,2019-06-19,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,25,,,,,,,,,,,,
5,2019-07-31,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,31,,,,,,,,,,,,
6,2019-08-28,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,35,,,,,,,,,,,,
7,2019-10-02,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,40,,,,,,,,,,,,
8,2019-10-23,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,43,,,,,,,,,,,,
9,2019-11-20,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,47,,,,,,,,,,,,
10,2019-12-25,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,52,,,,,,,,,,,,
0,2020-01-08,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,2,,,,,,,,,,,,
1,2020-01-16,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,3,,,,,,,,,,,,
2,2020-03-31,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,14,,,,,,,,,,,,
3,2020-04-29,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,18,,,,,,,,,,,,
4,2020-06-17,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,25,,,,,,,,,,,,
5,2020-07-01,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,30.0,30.0,0.0,27,,,,,,,,,,,,
6,2020-07-22,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,30,,,,,,,,,,,,
7,2020-08-05,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,32,,,,,,,,,,,,
8,2020-08-26,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,35,,,,,,,,,,,,
9,2020-10-07,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,41,0.0,,,,,,,,,,,
10,2020-11-05,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,45,,,,,,,,,,,,
11,2020-11-25,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,48,,,,,,,,,,,,
12,2020-12-16,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,51,,,,,,,,,,,,
0,2021-01-06,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-01-20,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-02-10,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-03-24,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,12,,,,,,,,,,,,
4,2021-03-31,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,13,,,,,,,,,,,,
5,2021-04-07,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-04-21,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,150.0,150.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-05-05,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,18,,,,,,,,,,,,
8,2021-05-12,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,100.0,100.0,0.0,19,,,,,,,,,,,,
9,2021-05-26,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,21,,,,,,,,,,,,
10,2021-06-02,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,150.0,0.0,0.0,50.0,50.0,0.0,22,,,,,,,,,,,,
11,2021-06-09,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,150.0,0.0,0.0,50.0,50.0,0.0,23,,,,,,,,,,,,
12,2021-06-16,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,150.0,0.0,0.0,100.0,100.0,0.0,24,,,,,,,,,,,,
13,2021-06-30,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,150.0,0.0,0.0,150.0,150.0,0.0,26,,,,,,,,,,,,
14,2021-07-07,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,150.0,0.0,0.0,50.0,50.0,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2021-07-14,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,150.0,0.0,0.0,100.0,100.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2021-07-21,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,150.0,0.0,0.0,50.0,50.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
