,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-03,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,1,,,,,,,,,,,,
1,2019-01-16,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,3,,,,,,,,,,,,
2,2019-01-23,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,2.0,2.0,0.0,4,,,,,,,,,,,,
3,2019-02-13,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,7,,,,,,,,,,,,
4,2019-02-26,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,9,,,,,,,,,,,,
5,2019-03-13,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,11,,,,,,,,,,,,
6,2019-03-27,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,13,,,,,,,,,,,,
7,2019-04-10,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,15,,,,,,,,,,,,
8,2019-04-25,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,17,,,,,,,,,,,,
9,2019-05-15,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,20,,,,,,,,,,,,
10,2019-05-29,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,2.0,2.0,0.0,22,,,,,,,,,,,,
11,2019-06-12,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,2.0,2.0,0.0,24,,,,,,,,,,,,
12,2019-07-03,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,3.0,3.0,0.0,27,,,,,,,,,,,,
13,2019-07-17,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,29,,,,,,,,,,,,
14,2019-07-31,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,31,,,,,,,,,,,,
15,2019-08-14,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,33,,,,,,,,,,,,
16,2019-08-28,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,35,,,,,,,,,,,,
17,2019-09-04,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,36,,,,,,,,,,,,
18,2019-09-25,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,39,,,,,,,,,,,,
19,2019-10-02,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,40,,,,,,,,,,,,
20,2019-10-16,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,42,,,,,,,,,,,,
21,2019-10-30,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,44,,,,,,,,,,,,
22,2019-11-14,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,2.0,2.0,0.0,46,,,,,,,,,,,,
23,2019-11-20,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,2.0,2.0,0.0,47,,,,,,,,,,,,
24,2019-12-04,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,49,,,,,,,,,,,,
25,2019-12-11,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,2.0,2.0,0.0,50,,,,,,,,,,,,
0,2020-01-02,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,2.0,2.0,0.0,1,,,,,,,,,,,,
1,2020-01-22,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,4,,,,,,,,,,,,
0,2021-04-28,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,10.0,10.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-30,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,4.0,4.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-05-11,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,19,,,,,,,,,,,,
3,2021-05-28,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,21,,,,,,,,,,,,
4,2021-07-05,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-07-08,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,3.0,3.0,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-07-09,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,3.0,3.0,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-08-12,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,11.0,11.0,0.0,32,,,,,,,,,,,,
8,2021-09-03,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,2.0,2.0,0.0,35,,,,,,,,,,,,
9,2021-10-12,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,10.0,0.0,0.0,1.0,1.0,0.0,41,,,,,,,,,,,,
