,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-09,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,2,,,,,,,,,,,,
1,2019-04-17,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,16,,,,,,,,,,,,
2,2019-06-19,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,25,,,,,,,,,,,,
3,2019-10-08,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,41,,,,,,,,,,,,
4,2019-12-18,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,51,,,,,,,,,,,,
0,2020-01-16,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,3,,,,,,,,,,,,
1,2020-05-27,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,22,,,,,,,,,,,,
2,2020-06-17,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,25,,,,,,,,,,,,
3,2020-07-08,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,28,,,,,,,,,,,,
4,2020-10-29,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,支,T,100.0,0.0,0.0,100.0,100.0,0.0,44,0.0,,,,,,,,,,,
0,2021-01-27,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-14,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-06-23,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,25,,,,,,,,,,,,
3,2021-07-29,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-09-29,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,39,,,,,,,,,,,,
5,2021-12-30,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,支,T,100.0,0.0,0.0,50.0,50.0,0.0,52,,,,,,,,,,,,
