,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-03,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,8.0,8.0,0.0,1,,,,,,,,,,,,
1,2019-04-25,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,5.0,5.0,0.0,17,,,,,,,,,,,,
2,2019-06-12,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,4.0,4.0,0.0,24,,,,,,,,,,,,
3,2019-07-10,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,4.0,4.0,0.0,28,,,,,,,,,,,,
4,2019-12-11,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,5.0,5.0,0.0,50,,,,,,,,,,,,
0,2020-03-11,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,1.0,1.0,0.0,11,,,,,,,,,,,,
1,2020-03-25,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,6.0,6.0,0.0,13,,,,,,,,,,,,
2,2020-04-15,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,3.0,3.0,0.0,16,,,,,,,,,,,,
3,2020-04-25,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,2.0,2.0,0.0,17,,,,,,,,,,,,
4,2020-05-06,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,2.0,2.0,0.0,19,,,,,,,,,,,,
5,2020-05-20,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,4.0,4.0,0.0,21,,,,,,,,,,,,
6,2020-06-17,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,7.0,7.0,0.0,25,,,,,,,,,,,,
7,2020-07-15,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,3.0,3.0,0.0,29,,,,,,,,,,,,
8,2020-08-05,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,5.0,5.0,0.0,32,,,,,,,,,,,,
9,2020-08-19,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,5.0,5.0,0.0,34,,,,,,,,,,,,
10,2020-10-21,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,5.0,5.0,0.0,43,0.0,,,,,,,,,,,
11,2020-12-02,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,3.0,3.0,0.0,49,,,,,,,,,,,,
0,2021-01-06,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,4.0,4.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-02-03,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,4.0,4.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-03-10,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,6.0,6.0,0.0,10,,,,,,,,,,,,
3,2021-03-17,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,4.0,4.0,0.0,11,,,,,,,,,,,,
4,2021-07-07,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,5.0,5.0,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-08-05,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,5.0,5.0,0.0,31,,,,,,,,,,,,
6,2021-09-15,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,6.0,6.0,0.0,37,,,,,,,,,,,,
7,2021-09-29,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,3.0,3.0,0.0,39,,,,,,,,,,,,
8,2021-11-12,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,3.0,3.0,0.0,45,,,,,,,,,,,,
9,2021-11-24,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,6.0,6.0,0.0,47,,,,,,,,,,,,
10,2021-12-16,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,2.0,2.0,0.0,50,,,,,,,,,,,,
11,2021-12-30,G81200207,嗜氧攜送培養基,,支,T,6.0,0.0,0.0,4.0,4.0,0.0,52,,,,,,,,,,,,
