,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-03,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,1,,,,,,,,,,,,
1,2019-01-09,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,2,,,,,,,,,,,,
2,2019-01-23,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,4,,,,,,,,,,,,
3,2019-02-13,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,7,,,,,,,,,,,,
4,2019-02-26,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,9,,,,,,,,,,,,
5,2019-03-06,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,10,,,,,,,,,,,,
6,2019-03-20,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,12,,,,,,,,,,,,
7,2019-04-17,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,16,,,,,,,,,,,,
8,2019-04-25,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,17,,,,,,,,,,,,
9,2019-05-08,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,19,,,,,,,,,,,,
