,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-09,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,2,,,,,,,,,,,,
1,2019-01-16,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,2.0,2.0,0.0,3,,,,,,,,,,,,
2,2019-01-21,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,2.0,2.0,0.0,4,,,,,,,,,,,,
3,2019-05-08,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,19,,,,,,,,,,,,
4,2019-05-22,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,21,,,,,,,,,,,,
0,2020-02-19,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,8,,,,,,,,,,,,
1,2020-04-08,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,15,,,,,,,,,,,,
2,2020-04-15,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,16,,,,,,,,,,,,
3,2020-04-25,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,17,,,,,,,,,,,,
4,2020-04-29,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,18,,,,,,,,,,,,
5,2020-05-27,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,22,,,,,,,,,,,,
6,2020-06-03,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,23,,,,,,,,,,,,
7,2020-06-10,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,24,,,,,,,,,,,,
8,2020-06-17,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,25,,,,,,,,,,,,
9,2020-07-22,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,30,,,,,,,,,,,,
10,2020-07-28,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,31,,,,,,,,,,,,
11,2020-08-05,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,32,,,,,,,,,,,,
12,2020-08-12,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,33,,,,,,,,,,,,
0,2021-01-06,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-01-13,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-01-20,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-01-27,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-12-02,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,48,,,,,,,,,,,,
5,2021-12-09,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,1.0,0.0,0.0,1.0,1.0,0.0,49,,,,,,,,,,,,
