,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,撥補
0,2019-01-07,B13700102,有粉乳膠檢診手套,100支/盒,盒,T,4.0,0.0,0.0,4.0,4.0,0.0,2,
1,2019-01-26,B13700102,有粉乳膠檢診手套,100支/盒,盒,T,4.0,0.0,0.0,4.0,4.0,0.0,4,
2,2019-04-08,B13700102,有粉乳膠檢診手套,100支/盒,盒,T,4.0,0.0,0.0,4.0,4.0,0.0,15,
3,2019-06-24,B13700102,有粉乳膠檢診手套,100支/盒,盒,T,4.0,0.0,0.0,4.0,4.0,0.0,26,
4,2019-08-06,B13700102,有粉乳膠檢診手套,100支/盒,盒,T,4.0,0.0,0.0,4.0,4.0,0.0,32,
5,2019-08-12,B13700102,有粉乳膠檢診手套,100支/盒,盒,T,4.0,0.0,0.0,4.0,4.0,0.0,33,
6,2019-08-19,B13700102,有粉乳膠檢診手套,100支/盒,盒,T,4.0,0.0,0.0,4.0,4.0,0.0,34,
7,2019-09-23,B13700102,有粉乳膠檢診手套,100支/盒,盒,T,4.0,0.0,0.0,4.0,4.0,0.0,39,
8,2019-12-09,B13700102,有粉乳膠檢診手套,100支/盒,盒,T,4.0,0.0,0.0,4.0,4.0,0.0,50,
0,2020-01-06,B13700102,有粉乳膠檢診手套,100支/盒,盒,T,4.0,0.0,0.0,8.0,8.0,0.0,2,
1,2020-03-30,B13700102,有粉乳膠檢診手套,100支/盒,盒,T,4.0,0.0,0.0,4.0,4.0,0.0,14,
2,2020-04-06,B13700102,有粉乳膠檢診手套,100支/盒,盒,T,0.0,0.0,0.0,4.0,4.0,0.0,15,
