,Unnamed: 0,料號,紀錄週數,Chinese_Name,規格,型號,預測值
0,0,B03110120,52,人工薄膜,4〞x43/4〞,1626W,27
1,1,K80004044,52,Push Button Blood Collection,23G 50支/BX,367342,7
2,2,A04300023,52,急速輸血套附Y型管,Y型,A14,15
3,3,A04200038,52,安全靜脈點滴輸液套(免針式),180cm,CIV-180EYS,17
4,4,A04200020,52,精密控制輸液套附免針加藥座,附免針加藥座120cc硬bag,F08,21
5,5,A00120025,52,2.5-3cc PVC 注射空針,有螺紋2.5-3cc，23-24Gx1〞-1+1/4〞,,448
6,6,C03613006,52,高壓延長管(公針基-母針基),72〞(約180cm)滅菌,I08318,22
7,7,C10220101,52,單頭單向血壓監視組,,886-42584-05,22
8,8,C13830005,52,IV注射帽,螺旋式,TYPE B,24
9,9,C13930399,52,T型連接管,承接座(圓柱型)+輸液管(15CM)+針座(T型)+控制器(平夾式),E04,32
10,10,C13931219,52,安全靜脈留置針,G20X1 3/4〞.FEP〞,4252527-03,53
11,11,A02320340,52,〞美迪克〞安全性靜脈留置針  20G,20GX31MM,SP120-20-31,33
12,12,B03106859,52,人工薄膜,2 3/8〞x 2 3/4〞,1624W,68
13,13,G81500272,52,血糖試紙,,05942861,261
14,14,C02113123,52,抽痰管，內含手控接頭,12Fr 100條/袋6袋/箱,BSU12,554
15,15,J00202019,52,勤達豪華型尿袋 (滅菌),2000ml,,11
16,16,A02120180,52,塑膠注射針頭,18Gx1+1/2〞 100支/盒,4665120,29
17,17,A01130509,52,塑膠灌食空針,60-70cc,YJ-40,14
18,18,A00421190,52,胰島素安全注射筒附針-30G,30Gx0.5ccx 8mm,305934,60
19,19,T50412005,52,Edith,,3300,28
20,20,A00124417,52,血氣分析專用採血器 3 cc,3ml(100pcs/KIT),364378,73
21,21,A00120504,52,50cc塑膠注射空針-非螺紋,50支/盒 ，無螺紋200支/箱,,91
22,22,A00120213,52,20CC塑膠注射空針直插  (無螺紋),20mL， Eccentric Luer Slip type,MDSS20ES,265
