,Unnamed: 0,料號,紀錄週數,Chinese_Name,規格,型號,預測值
0,0,G81500272,52,血糖試紙,,05942861,41
1,1,A04411285,52,全拋式採血器,28G,05888662200,44
2,2,A02120180,51,塑膠注射針頭,18Gx1+1/2〞 100支/盒,4665120,65
3,3,K80004044,51,Push Button Blood Collection,23G 50支/BX,367342,21
4,4,A00120213,50,20CC塑膠注射空針直插  (無螺紋),20mL， Eccentric Luer Slip type,MDSS20ES,25
5,5,C13930399,49,T型連接管,承接座(圓柱型)+輸液管(15CM)+針座(T型)+控制器(平夾式),E04,18
6,6,A02322259,49,〞美迪克〞安全性靜脈留置針  22G,22GX25MM,SP120-22-25,13
7,7,A02320340,49,〞美迪克〞安全性靜脈留置針  20G,20GX31MM,SP120-20-31,9
8,8,B03106859,49,人工薄膜,2 3/8〞x 2 3/4〞,1624W,22
9,9,C02113123,48,抽痰管，內含手控接頭,12Fr 100條/袋6袋/箱,BSU12,102
10,10,F01321004,46,廢液收集器-開刀房區(有止溢閥),有止溢閥,CSB-200S3,4
11,11,A01130509,45,塑膠灌食空針,60-70cc,YJ-40,3
12,12,J00202019,44,勤達豪華型尿袋 (滅菌),2000ml,,3
13,13,U91700000,43,丟棄式導尿包,滅菌,,5
14,14,A04800036,43,靜脈輸液套，附Y加葯管,20gtt/ml 100個/箱,B02,6
15,15,A04200020,43,精密控制輸液套附免針加藥座,附免針加藥座120cc硬bag,F08,4
16,16,A00421190,41,胰島素安全注射筒附針-30G,30Gx0.5ccx 8mm,305934,11
17,17,C00120168,41,二叉留置導尿管16FR,16FR,YJ-57,3
18,18,C13941807,41,抽痰連接管,180cm 滅菌,S-27-010-A,4
19,19,A03295054,41,安全式注射筆專用針,30G × 5mm,329505,3
20,20,A00120504,40,50cc塑膠注射空針-非螺紋,50支/盒 ，無螺紋200支/箱,,7
21,21,A00120025,39,2.5-3cc PVC 注射空針,有螺紋2.5-3cc，23-24Gx1〞-1+1/4〞,,4
22,22,V00400273,38,潤滑凍膏 2.7-3GM(滅菌),2.7-3GM 滅菌,CD-LG-721,6
23,23,C02723000,37,氧氣鼻管 O2雙管 2-Way,200條/箱   100/S,OX-2,2
24,24,A00120102,37,10cc塑膠注射空針 有螺紋,10ml 22G*1-1/2〞  luer lock,MDSS10L2238,12
25,25,A00120110,36,10cc塑膠注射空針 無螺紋,10ml 22G*1-1/2〞 luer slip,MDSS10S2238,18
26,26,A00120067,36,5cc 塑膠注射空針,無螺旋5cc，23Gx1+1/4〞,,9
27,27,C13830005,35,IV注射帽,螺旋式,TYPE B,2
28,28,A04300023,34,急速輸血套附Y型管,Y型,A14,5
29,29,A00120059,34,5cc塑膠注射空針,有螺紋5cc，23Gx1+1/4〞,,4
30,30,A00124417,32,血氣分析專用採血器 3 cc,3ml(100pcs/KIT),364378,4
31,31,I20100104,31,心電圖電極貼片,成人帶扣 30片/包,F-TC1,5
32,32,B03110120,31,人工薄膜,4〞x43/4〞,1626W,2
33,33,A00120033,31,2.5-3cc PVC 注射空針,無螺紋2.5-3cc，23-24Gx1〞-1+1/4〞,,9
34,34,F41200000,27,痰液收集器,14Fr  180個/箱,,4
35,35,C02513167,26,鼻胃管16Fr  可顯影125cm,30條/包 ，4包/箱,,3
36,36,C02514164,26,矽質胃管  16FR,16FR,ST-0016,2
37,37,F36005006,24,單一無菌引流袋 500cc,單向逆流,M08001,3
38,38,C00211075,24,橡皮導尿管1wayNo14美規,100條/袋  2袋/箱,,4
39,39,C14000004,20,輸液延長管,600付/箱,A130,2
40,40,T01612024,19,不再吸入口罩,,OM-81212,1
41,41,C00211067,17,橡皮導尿管1wayNo12美規,100條/袋  2袋/箱,,0
42,42,C02911226,16,灌腸管,22FR,YJ-78,0
43,43,C00123169,16,二叉矽質導尿管-16Fr,16FR 5CC,76SF,0
44,44,A04411370,16,胰島素筆型注射器針頭32G x 4mm,32G x 4mm,320472,1
45,45,T01101024,15,噴霧氧氣口罩，Aerosol Mask,成人,OX-5-1,2
46,46,A46441986,14,幫浦輸液套(一般型),,M46441980AP,1
47,47,D00320301,14,3-0 尼龍線  Nylon,26mm x 75cm,NC263L,1
48,48,B08143445,14,紗布墊 4〞X4〞X8Ply,4〞X4〞X8Ply，10片/包,,1
49,49,T04220215,13,微量噴霧器,,PN-1118A,2
50,50,B05569084,13,沖洗棉棒 棉頭3.8cm直徑2.4cm,8支/包 300包/箱,,1
51,51,U90480016,13,中央靜脈導管包布,20包/箱,BC8001E,1
