,Unnamed: 0,料號,紀錄週數,Chinese_Name,規格,型號,預測值
0,0,K80004044,52,Push Button Blood Collection,23G 50支/BX,367342,18
1,1,G81500272,47,血糖試紙,,05942861,34
2,2,A04411285,47,全拋式採血器,28G,05888662200,31
3,3,C13931431,42,安全注射器回拉式3ml,3ml 23G*1〞,100077IM,2
4,4,C13930399,38,T型連接管,承接座(圓柱型)+輸液管(15CM)+針座(T型)+控制器(平夾式),E04,4
5,5,B03106859,38,人工薄膜,2 3/8〞x 2 3/4〞,1624W,6
6,6,A00120067,35,5cc 塑膠注射空針,無螺旋5cc，23Gx1+1/4〞,,9
7,7,A02322259,33,〞美迪克〞安全性靜脈留置針  22G,22GX25MM,SP120-22-25,10
8,8,A00120110,27,10cc塑膠注射空針 無螺紋,10ml 22G*1-1/2〞 luer slip,MDSS10S2238,5
9,9,A04411370,27,胰島素筆型注射器針頭32G x 4mm,32G x 4mm,320472,14
10,10,A02312182,21,〞美迪克〞安全性靜脈留置針  24G,24GX19MM,SP120-24-19,3
11,11,A04200020,17,精密控制輸液套附免針加藥座,附免針加藥座120cc硬bag,F08,5
12,12,A04800036,16,靜脈輸液套，附Y加葯管,20gtt/ml 100個/箱,B02,1
