,Unnamed: 0,料號,紀錄週數,Chinese_Name,規格,型號,預測值
0,0,A04030052,52,餵食引導器 (未滅菌),1200ml pump set,M07040,14
1,1,B03106859,52,人工薄膜,2 3/8〞x 2 3/4〞,1624W,7
2,2,G81500272,52,血糖試紙,,05942861,38
3,3,A03295054,52,安全式注射筆專用針,30G × 5mm,329505,32
4,4,A01130509,52,塑膠灌食空針,60-70cc,YJ-40,13
5,5,J00202019,52,勤達豪華型尿袋 (滅菌),2000ml,,8
6,6,A04411285,52,全拋式採血器,28G,05888662200,38
7,7,K80004044,51,Push Button Blood Collection,23G 50支/BX,367342,15
8,8,A00421190,51,胰島素安全注射筒附針-30G,30Gx0.5ccx 8mm,305934,39
9,9,C13930399,51,T型連接管,承接座(圓柱型)+輸液管(15CM)+針座(T型)+控制器(平夾式),E04,4
10,10,U91700000,51,丟棄式導尿包,滅菌,,4
11,11,C13830005,49,IV注射帽,螺旋式,TYPE B,5
12,12,B03110120,49,人工薄膜,4〞x43/4〞,1626W,4
13,13,C02514164,49,矽質胃管  16FR,16FR,ST-0016,3
14,14,A02120180,49,塑膠注射針頭,18Gx1+1/2〞 100支/盒,4665120,25
15,15,A02320340,48,〞美迪克〞安全性靜脈留置針  20G,20GX31MM,SP120-20-31,4
16,16,A04800036,48,靜脈輸液套，附Y加葯管,20gtt/ml 100個/箱,B02,3
17,17,T00030706,48,微量噴霧器,噴霧杯容量6CC，蛇管15CM，T接頭,3070P3,4
18,18,A00120213,48,20CC塑膠注射空針直插  (無螺紋),20mL， Eccentric Luer Slip type,MDSS20ES,16
19,19,A02322259,47,〞美迪克〞安全性靜脈留置針  22G,22GX25MM,SP120-22-25,9
20,20,A00120102,47,10cc塑膠注射空針 有螺紋,10ml 22G*1-1/2〞  luer lock,MDSS10L2238,33
21,21,A00120025,46,2.5-3cc PVC 注射空針,有螺紋2.5-3cc，23-24Gx1〞-1+1/4〞,,0
22,22,A00120059,44,5cc塑膠注射空針,有螺紋5cc，23Gx1+1/4〞,,13
23,23,V00400273,43,潤滑凍膏 2.7-3GM(滅菌),2.7-3GM 滅菌,CD-LG-721,3
24,24,A04200020,43,精密控制輸液套附免針加藥座,附免針加藥座120cc硬bag,F08,7
25,25,T50412005,41,Edith,,3300,8
26,26,A04300023,40,急速輸血套附Y型管,Y型,A14,4
27,27,A00120110,35,10cc塑膠注射空針 無螺紋,10ml 22G*1-1/2〞 luer slip,MDSS10S2238,2
28,28,C02514180,33,矽質胃管  18FR,18FR,ST-0018,3
29,29,C00123169,31,二叉矽質導尿管-16Fr,16FR 5CC,76SF,2
30,30,F01321004,31,廢液收集器-開刀房區(有止溢閥),有止溢閥,CSB-200S3,14
31,31,C00120168,30,二叉留置導尿管16FR,16FR,YJ-57,2
32,32,C09133750,26,氣切套管 Cuff 7.5,7.5mm 有Cuff,TS-075C,3
33,33,A00124417,26,血氣分析專用採血器 3 cc,3ml(100pcs/KIT),364378,2
34,34,A00120504,26,50cc塑膠注射空針-非螺紋,50支/盒 ，無螺紋200支/箱,,3
35,35,I20100104,23,心電圖電極貼片,成人帶扣 30片/包,F-TC1,23
36,36,K82430329,22,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,20601S,4
37,37,F36005006,22,單一無菌引流袋 500cc,單向逆流,M08001,1
38,38,U90480016,21,中央靜脈導管包布,20包/箱,BC8001E,2
39,39,C00733218,21,抗感染安全尖端導管組,7FRX20CM,CS-25703-E,3
40,40,F41200000,21,痰液收集器,14Fr  180個/箱,,2
41,41,B05569084,21,沖洗棉棒 棉頭3.8cm直徑2.4cm,8支/包 300包/箱,,4
42,42,D00320301,20,3-0 尼龍線  Nylon,26mm x 75cm,NC263L,2
43,43,V02204118,20,手術刀片,#11   100支/盒,,3
44,44,B08143445,20,紗布墊 4〞X4〞X8Ply,4〞X4〞X8Ply，10片/包,,4
45,45,T04220215,18,微量噴霧器,,PN-1118A,14
46,46,A46441986,18,幫浦輸液套(一般型),,M46441980AP,3
47,47,C00130227,17,三叉導尿管(矽化塗層)-22Fr,22FR,123422A,0
48,48,I16200040,17,CPUI用細菌過濾器,22F+22M/15F,1790000,18
49,49,A00120033,17,2.5-3cc PVC 注射空針,無螺紋2.5-3cc，23-24Gx1〞-1+1/4〞,,0
50,50,C13941807,16,抽痰連接管,180cm 滅菌,S-27-010-A,29
51,51,C00120184,16,二叉留置導尿管18FR,18FR,YJ-57,6
52,52,B00306050,15,彈性紗捲,15cmx4.6M(6〞x5yd),,3
53,53,C09113003,15,加長型氣切套管,8Fr,100-80-1,3
54,54,C00123185,14,二叉矽質導尿管-18Fr,18FR 5CC,76SF,1
55,55,C09113011,13,加長型氣切套管  No.7.0,No.7.0,100-70-1,0
56,56,B00304056,13,彈性紗捲,10cmx4.6M(4〞x5yd),,9
