,庫房,料號,品名,數量,週
2305,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,64.0,1
2376,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,75.0,2
2434,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,67.0,3
2483,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,67.0,4
6761,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,58.0,5
6770,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,9.0,6
6803,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,33.0,7
6879,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,81.0,8
10913,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,56.0,9
10966,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,53.0,10
11021,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,57.0,11
11067,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,48.0,12
15391,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,50.0,13
15446,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,60.0,14
15488,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,44.0,15
15524,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,36.0,16
19489,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,50.0,17
19531,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,43.0,18
19571,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,41.0,19
19617,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,48.0,20
19660,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,44.0,21
23951,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,53.0,22
23998,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,52.0,23
24042,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,46.0,24
24089,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,51.0,25
28732,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,41.0,26
28790,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,61.0,27
28839,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,50.0,28
28886,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,49.0,29
33243,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,51.0,30
33293,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,52.0,31
33333,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,43.0,32
33383,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,52.0,33
33430,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,48.0,34
37527,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,52.0,35
37579,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,55.0,36
37629,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,50.0,37
37661,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,35.0,38
42228,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,69.0,39
42267,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,40.0,40
42302,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,38.0,41
42348,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,48.0,42
42391,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,45.0,43
46395,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,40.0,44
46454,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,61.0,45
46498,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,47.0,46
46546,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,51.0,47
50380,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,41.0,48
50417,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,39.0,49
50464,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,49.0,50
50506,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,45.0,51
50541,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,37.0,52
