,庫房,料號,品名,數量,週
4473,DLN5,G81500272,血糖試紙,119.0,1
4674,DLN5,G81500272,血糖試紙,210.0,2
4930,DLN5,G81500272,血糖試紙,265.0,3
5050,DLN5,G81500272,血糖試紙,132.0,4
8417,DLN5,G81500272,血糖試紙,233.0,5
8452,DLN5,G81500272,血糖試紙,36.0,6
8574,DLN5,G81500272,血糖試紙,122.0,7
8737,DLN5,G81500272,血糖試紙,164.0,8
13020,DLN5,G81500272,血糖試紙,172.0,9
13194,DLN5,G81500272,血糖試紙,185.0,10
13404,DLN5,G81500272,血糖試紙,215.0,11
13509,DLN5,G81500272,血糖試紙,106.0,12
17125,DLN5,G81500272,血糖試紙,124.0,13
17313,DLN5,G81500272,血糖試紙,197.0,14
17453,DLN5,G81500272,血糖試紙,145.0,15
17578,DLN5,G81500272,血糖試紙,128.0,16
21249,DLN5,G81500272,血糖試紙,155.0,17
21400,DLN5,G81500272,血糖試紙,157.0,18
21582,DLN5,G81500272,血糖試紙,199.0,19
21765,DLN5,G81500272,血糖試紙,180.0,20
21964,DLN5,G81500272,血糖試紙,199.0,21
25841,DLN5,G81500272,血糖試紙,131.0,22
26036,DLN5,G81500272,血糖試紙,196.0,23
26242,DLN5,G81500272,血糖試紙,222.0,24
26402,DLN5,G81500272,血糖試紙,163.0,25
30648,DLN5,G81500272,血糖試紙,171.0,26
30794,DLN5,G81500272,血糖試紙,154.0,27
30950,DLN5,G81500272,血糖試紙,161.0,28
31115,DLN5,G81500272,血糖試紙,168.0,29
34852,DLN5,G81500272,血糖試紙,129.0,30
34959,DLN5,G81500272,血糖試紙,115.0,31
35114,DLN5,G81500272,血糖試紙,171.0,32
35399,DLN5,G81500272,血糖試紙,111.0,33
35341,DLN5,G81500272,血糖試紙,127.0,34
39689,DLN5,G81500272,血糖試紙,250.0,35
39911,DLN5,G81500272,血糖試紙,231.0,36
40109,DLN5,G81500272,血糖試紙,204.0,37
40260,DLN5,G81500272,血糖試紙,152.0,38
43864,DLN5,G81500272,血糖試紙,202.0,39
44034,DLN5,G81500272,血糖試紙,176.0,40
44154,DLN5,G81500272,血糖試紙,126.0,41
44258,DLN5,G81500272,血糖試紙,105.0,42
44368,DLN5,G81500272,血糖試紙,112.0,43
48004,DLN5,G81500272,血糖試紙,88.0,44
48103,DLN5,G81500272,血糖試紙,101.0,45
48221,DLN5,G81500272,血糖試紙,125.0,46
48379,DLN5,G81500272,血糖試紙,180.0,47
52251,DLN5,G81500272,血糖試紙,131.0,48
52387,DLN5,G81500272,血糖試紙,146.0,49
52584,DLN5,G81500272,血糖試紙,217.0,50
52842,DLN5,G81500272,血糖試紙,271.0,51
52965,DLN5,G81500272,血糖試紙,129.0,52
