,庫房,料號,品名,數量,週
1815,DLN5,G81500272,血糖試紙,89.0,1
1866,DLN5,G81500272,血糖試紙,97.0,2
1895,DLN5,G81500272,血糖試紙,45.0,3
1910,DLN5,G81500272,血糖試紙,33.0,4
5162,DLN5,G81500272,血糖試紙,6.0,5
5208,DLN5,G81500272,血糖試紙,125.0,6
5289,DLN5,G81500272,血糖試紙,180.0,7
5347,DLN5,G81500272,血糖試紙,122.0,8
9930,DLN5,G81500272,血糖試紙,109.0,9
9998,DLN5,G81500272,血糖試紙,167.0,10
10079,DLN5,G81500272,血糖試紙,226.0,11
10171,DLN5,G81500272,血糖試紙,247.0,12
10302,DLN5,G81500272,血糖試紙,417.0,13
15794,DLN5,G81500272,血糖試紙,469.0,14
15949,DLN5,G81500272,血糖試紙,442.0,15
16095,DLN5,G81500272,血糖試紙,406.0,16
16226,DLN5,G81500272,血糖試紙,377.0,17
20570,DLN5,G81500272,血糖試紙,299.0,18
20695,DLN5,G81500272,血糖試紙,302.0,19
20798,DLN5,G81500272,血糖試紙,288.0,20
20880,DLN5,G81500272,血糖試紙,207.0,21
20966,DLN5,G81500272,血糖試紙,224.0,22
25240,DLN5,G81500272,血糖試紙,195.0,23
25355,DLN5,G81500272,血糖試紙,318.0,24
25437,DLN5,G81500272,血糖試紙,178.0,25
25520,DLN5,G81500272,血糖試紙,210.0,26
29894,DLN5,G81500272,血糖試紙,255.0,27
30020,DLN5,G81500272,血糖試紙,294.0,28
30107,DLN5,G81500272,血糖試紙,187.0,29
30196,DLN5,G81500272,血糖試紙,202.0,30
34880,DLN5,G81500272,血糖試紙,188.0,31
34968,DLN5,G81500272,血糖試紙,191.0,32
35062,DLN5,G81500272,血糖試紙,245.0,33
35145,DLN5,G81500272,血糖試紙,197.0,34
35256,DLN5,G81500272,血糖試紙,256.0,35
39585,DLN5,G81500272,血糖試紙,185.0,36
39677,DLN5,G81500272,血糖試紙,243.0,37
39761,DLN5,G81500272,血糖試紙,225.0,38
39879,DLN5,G81500272,血糖試紙,174.0,39
44495,DLN5,G81500272,血糖試紙,162.0,40
44600,DLN5,G81500272,血糖試紙,121.0,41
44825,DLN5,G81500272,血糖試紙,249.0,42
45106,DLN5,G81500272,血糖試紙,290.0,43
49566,DLN5,G81500272,血糖試紙,246.0,44
49720,DLN5,G81500272,血糖試紙,159.0,45
49859,DLN5,G81500272,血糖試紙,148.0,46
50024,DLN5,G81500272,血糖試紙,174.0,47
50165,DLN5,G81500272,血糖試紙,146.0,48
54619,DLN5,G81500272,血糖試紙,287.0,49
54795,DLN5,G81500272,血糖試紙,205.0,50
54958,DLN5,G81500272,血糖試紙,168.0,51
55106,DLN5,G81500272,血糖試紙,152.0,52
