,庫房,料號,品名,數量,週
44710,DLN5,G81500272,血糖試紙,135.0,1
3272,DLN5,G81500272,血糖試紙,170.0,2
3348,DLN5,G81500272,血糖試紙,158.0,3
3404,DLN5,G81500272,血糖試紙,121.0,4
6897,DLN5,G81500272,血糖試紙,109.0,5
6968,DLN5,G81500272,血糖試紙,235.0,6
7059,DLN5,G81500272,血糖試紙,229.0,7
7155,DLN5,G81500272,血糖試紙,217.0,8
10927,DLN5,G81500272,血糖試紙,246.0,9
11005,DLN5,G81500272,血糖試紙,200.0,10
11054,DLN5,G81500272,血糖試紙,99.0,11
11118,DLN5,G81500272,血糖試紙,163.0,12
11194,DLN5,G81500272,血糖試紙,170.0,13
14783,DLN5,G81500272,血糖試紙,150.0,14
14862,DLN5,G81500272,血糖試紙,159.0,15
14958,DLN5,G81500272,血糖試紙,195.0,16
15038,DLN5,G81500272,血糖試紙,173.0,17
18491,DLN5,G81500272,血糖試紙,144.0,18
18552,DLN5,G81500272,血糖試紙,119.0,19
18614,DLN5,G81500272,血糖試紙,113.0,20
18645,DLN5,G81500272,血糖試紙,54.0,21
21730,DLN5,G81500272,血糖試紙,120.0,22
21768,DLN5,G81500272,血糖試紙,89.0,23
21833,DLN5,G81500272,血糖試紙,118.0,24
21879,DLN5,G81500272,血糖試紙,87.0,25
21944,DLN5,G81500272,血糖試紙,130.0,26
25434,DLN5,G81500272,血糖試紙,111.0,27
25465,DLN5,G81500272,血糖試紙,52.0,28
25520,DLN5,G81500272,血糖試紙,122.0,29
25597,DLN5,G81500272,血糖試紙,197.0,30
29032,DLN5,G81500272,血糖試紙,190.0,31
29101,DLN5,G81500272,血糖試紙,142.0,32
29190,DLN5,G81500272,血糖試紙,198.0,33
29249,DLN5,G81500272,血糖試紙,112.0,34
32771,DLN5,G81500272,血糖試紙,149.0,35
32859,DLN5,G81500272,血糖試紙,169.0,36
32933,DLN5,G81500272,血糖試紙,168.0,37
33021,DLN5,G81500272,血糖試紙,225.0,38
33093,DLN5,G81500272,血糖試紙,140.0,39
36632,DLN5,G81500272,血糖試紙,164.0,40
36706,DLN5,G81500272,血糖試紙,170.0,41
36756,DLN5,G81500272,血糖試紙,85.0,42
36801,DLN5,G81500272,血糖試紙,78.0,43
40312,DLN5,G81500272,血糖試紙,136.0,44
40374,DLN5,G81500272,血糖試紙,150.0,45
40448,DLN5,G81500272,血糖試紙,155.0,46
40527,DLN5,G81500272,血糖試紙,188.0,47
44382,DLN5,G81500272,血糖試紙,220.0,48
44465,DLN5,G81500272,血糖試紙,160.0,49
44541,DLN5,G81500272,血糖試紙,151.0,50
44630,DLN5,G81500272,血糖試紙,192.0,51
44692,DLN5,G81500272,血糖試紙,137.0,52
