,庫房,料號,品名,數量,週
42269,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),88.0,1
1193,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),62.0,2
1219,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),48.0,3
1247,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),32.0,4
4699,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),44.0,5
4761,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),123.0,6
4821,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),114.0,7
4875,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),96.0,8
8750,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),51.0,9
8775,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),51.0,10
8796,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),26.0,11
8831,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),60.0,12
8859,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),46.0,13
12625,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),42.0,14
12663,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),59.0,15
12689,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),40.0,16
12728,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),55.0,17
16448,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),38.0,18
16472,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),50.0,19
16521,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),65.0,20
16555,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),58.0,21
19974,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),52.0,22
19999,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),45.0,23
20027,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),58.0,24
20052,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),49.0,25
20087,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),60.0,26
23451,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),34.0,27
23480,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),54.0,28
23505,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),43.0,29
23529,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),47.0,30
27017,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),40.0,31
27053,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),72.0,32
27111,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),122.0,33
27137,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),64.0,34
30818,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),20.0,35
30839,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),31.0,36
30865,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),36.0,37
30889,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),51.0,38
30912,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),38.0,39
34597,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),47.0,40
34628,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),57.0,41
34650,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),79.0,42
34681,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),87.0,43
38219,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),27.0,44
38248,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),40.0,45
38278,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),47.0,46
38309,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),51.0,47
42123,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),49.0,48
42155,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),73.0,49
42187,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),60.0,50
42227,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),93.0,51
42261,DLN5,A00120213,20CC塑膠注射空針直插  (無螺紋),84.0,52
