,料號,Chinese_Name,規格,型號,庫存單位代碼,庫存單位,常備量,庫存量
0,B03251164,紙膠布,1〞x10YD;附切台 120/S,1530-1,12,卷,0,243
1,B05469023,6吋棉棒,普通棉棒10支-包,,7,包,0,1370
2,B07109004,酒精棉片,100片/盒60盒/箱,,8,片,0,7800
3,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,,11,盒,0,3536
4,B13700205,檢診手套(非滅菌),100支/盒,M,11,盒,0,0
5,D00304406,4-0 化學合成可吸收多股縫合線,17mm x 70cm圓針﹑滅菌,J304H,7,包,0,0
6,F10110303,塑膠藥杯，30ML刻度,30cc 1.須有清楚刻度 ，杯口平滑   2.杯口寬減杯底寬度少於1cm(投標時請附5個樣品現場審查),,1,個,0,9300
7,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,456089,2,支,0,144
8,G80504051,紫頭CBC管(真空無菌),受容量5ml採血量2-3ml,367856,2,支,0,1220
9,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,SY9514+SY9515,2,支,0,738
10,K80004028,SST(Yellow)管,5ml 100EA/Bx,456073,2,支,0,4480
11,K82430329,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,20601S,1,個,0,539
12,K82600612,張氏糞便收集器,800個/箱,,1,個,0,-7
13,V04702002,體溫速測儀專用膠套,500pc/box,PECG1000,1,個,0,3800
14,Z25200010,外科綁帶手術口罩(第2等級),50個/盒,,11,盒,0,0
15,B07202101,ENT棉棒,10支/包,,7,包,0,950
16,B08142448,紗布墊 10cmx10cmx8ply,2片/包,,7,包,0,186
17,F11010008,尿杯 Urine cup,120-200cc  白色,,1,個,0,1290
18,V04451006,壓舌板,10支/包，500包/箱,,7,包,0,397
19,G80501505,藍頭P.T 管(真空無菌),受容量3ml採血量2ml,454322,2,支,0,231
20,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,367884,2,支,0,100
21,G81100016,厭氧攜送培養基,20支/包 100支/盒,CMP0400081,2,支,0,79
22,A02320205,靜脈留置針-20G,20Gx 2〞 Insyte,4055764,2,支,0,0
23,B08340408,Y型紗布-不織布,4〞x4〞   2片/包,,7,包,0,-110
24,V03111008,紙口罩,100個/盒,,11,盒,0,0
25,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,,11,盒,0,0
26,K80003312,藍蓋螺旋尿管,10ml,FLA-2-10SCVT-100,2,支,0,135
27,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,455036,2,支,0,660
28,Z25311145,眼鏡式護目鏡,,,1,個,0,174
29,G10705008,消毒錠,2.5Gx100粒/瓶 6瓶/箱,BK-25,10,瓶,0,5
30,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,454221,2,支,0,249
31,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,352037,2,支,0,352
32,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,S,11,盒,0,1361
33,B13500558,無粉乳膠手套,100支/盒﹑10盒/箱,M,11,盒,0,100
34,Z24105417,隔離衣,,8023-30,29,件,0,-60
35,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,CMP0400201,1,個,0,192
36,B00215008,網狀彈性繃帶,5# 25Y /盒,,11,盒,0,1
37,T02140068,鼻咽喉插管NASAL AIRWAY,6.0#,100/210/060,1,個,0,3
38,T02140076,鼻咽喉插管NASAL AIRWAY,7.0#,100/210/070,1,個,0,9
39,A04120306,幫浦輸液套(一般型),附無針針頭2個,14687,1,個,0,0
40,A46441986,幫浦輸液套(一般型),,M46441980AP,103,EA,0,32
41,G80100027,PST生化管(真空無菌),受容量4ml採血量3ml,367960,2,支,0,20
42,Z26720137,鞋套:止滑18〞16〞14〞,14〞16〞18〞具止滑功能,,24,雙,0,1300
43,G80506039,黑頭ESR管(真空無菌)1040302啟用,受容量5ml採血量2-3ml,454073,2,支,0,130
44,B08143334,紗布墊 3〞X3〞X8Ply,3〞X3〞-8Ply  10片/包,,7,包,0,25
45,B13500807,無菌手套8.0Fr(無粉)-病房用,#8.0,1318,24,雙,0,423
46,G81200207,嗜氧攜送培養基,,CMP0400051,2,支,0,125
47,C02113149,抽痰管，內含手控接頭,14Fr100條/袋  6袋/箱,BSU14,4,條,0,-100
48,C13931457,安全注射器回拉式5ML,5ml 23G*1 1/4〞,140065IM,2,支,0,0
49,D00320301,3-0 尼龍線  Nylon,26mm x 75cm,NC263L,7,包,0,0
50,U90480016,中央靜脈導管包布,20包/箱,BC8001E,7,包,0,-7
51,A04200038,安全靜脈點滴輸液套(免針式),180cm,CIV-180EYS,5,付,0,292
52,T01101016,氧氣口罩成人含接管,,OX-3,1,個,0,29
53,A04300306,白血球去除過濾器/紅血球專用,,LR5022,8,片,0,0
54,A00421108,1cc 胰島素注射空針-31G,10支/包 31Gx8mm針頭,328820,2,支,0,0
55,A00421174,BD滑蓋式胰島素安全注射筒附針,29Gx1ccx13mm,305930,2,支,0,0
56,B03647700,紙治療巾,50cmx70cm，四周含背膠,,7,包,0,91
