,料號,Chinese_Name,規格,型號,庫存單位代碼,庫存單位,常備量,庫存量
0,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,,12,卷,0,0
1,B03251164,紙膠布,1〞x10YD;附切台 120/S,1530-1,12,卷,0,243
2,B04904105,舒軟膠布,100mm*10M,EBR-10010,12,卷,0,24
3,B05569103,口腔棉棒 棉頭2.5cm直徑0.8cm,5支/包,,7,包,0,4500
4,B07109004,酒精棉片,100片/盒60盒/箱,,8,片,0,7800
5,B07202101,ENT棉棒,10支/包,,7,包,0,950
6,B08142448,紗布墊 10cmx10cmx8ply,2片/包,,7,包,0,186
7,B13331008,P.E.手套，己消毒，單支,M 1支\包  2000支/箱,YN-66-SPS,2,支,0,500
8,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,,11,盒,0,3536
9,B13500807,無菌手套8.0Fr(無粉)-病房用,#8.0,1318,24,雙,0,423
10,B13700102,有粉乳膠檢診手套,100支/盒,S,11,盒,0,0
11,B13700205,檢診手套(非滅菌),100支/盒,M,11,盒,0,0
12,B13700308,檢診手套(非滅菌),100支/盒,L,11,盒,0,0
13,D00669305,3-0   尼龍線,24mm x 75cm,C0935352,7,包,0,231
14,F10110303,塑膠藥杯，30ML刻度,30cc 1.須有清楚刻度 ，杯口平滑   2.杯口寬減杯底寬度少於1cm(投標時請附5個樣品現場審查),,1,個,0,9300
15,F11010008,尿杯 Urine cup,120-200cc  白色,,1,個,0,1290
16,F20111009,塑膠彎盆,500-600cc,CY-P003,1,個,0,339
17,G10705008,消毒錠,2.5Gx100粒/瓶 6瓶/箱,BK-25,10,瓶,0,5
18,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,456089,2,支,0,144
19,G80501505,藍頭P.T 管(真空無菌),受容量3ml採血量2ml,454322,2,支,0,231
20,G80504051,紫頭CBC管(真空無菌),受容量5ml採血量2-3ml,367856,2,支,0,1220
21,G80506039,黑頭ESR管(真空無菌)1040302啟用,受容量5ml採血量2-3ml,454073,2,支,0,130
22,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,CMP0400201,1,個,0,192
23,J00202506,尿液收集袋,(24小時使用) 3500CC,SY8020,1,個,0,26
24,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,SY9514+SY9515,2,支,0,738
25,K80003312,藍蓋螺旋尿管,10ml,FLA-2-10SCVT-100,2,支,0,135
26,K80004028,SST(Yellow)管,5ml 100EA/Bx,456073,2,支,0,4480
27,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,352037,2,支,0,352
28,K82600612,張氏糞便收集器,800個/箱,,1,個,0,-7
29,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,,11,盒,0,0
30,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,93500,1,個,0,4
31,U00611003,病患識別帶，大人用,粉紅色,SY8049,1,個,0,1730
32,U90120001,塑膠CD包 彎盆，鑷子2支，棉球6個，,"塑膠袋附背膠,紙包巾",,1,個,0,0
33,V04451006,壓舌板,10支/包，500包/箱,,7,包,0,397
34,V04702002,體溫速測儀專用膠套,500pc/box,PECG1000,1,個,0,3800
35,Z24105417,隔離衣,,8023-30,29,件,0,-60
36,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),BC9585DL NO,29,件,0,19
37,B00215008,網狀彈性繃帶,5# 25Y /盒,,11,盒,0,1
38,B03251310,透氣帶膠,無切 3〞x5yd 25捲/盒,BP35,14,捲,0,8
39,B04820007,3M醫療膠帶(未滅菌),1/2吋*10碼,1538-0,14,捲,0,38
40,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,455036,2,支,0,660
41,G81100016,厭氧攜送培養基,20支/包 100支/盒,CMP0400081,2,支,0,79
42,G81200207,嗜氧攜送培養基,,CMP0400051,2,支,0,125
43,B03353000,宜拉膠帶,7.5cmx5M(3〞x5YD),,14,捲,0,6
44,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,454221,2,支,0,249
45,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,367884,2,支,0,100
46,J00610007,"塑膠尿套,男用","45cm,100個/包       ",,7,包,0,7
47,V02102000,塑膠剃刀 (雙面使用),,,2,支,0,132
48,A02320205,靜脈留置針-20G,20Gx 2〞 Insyte,4055764,2,支,0,0
49,B00104103,紗布繃帶,10cmx9M(4〞x10YD),,12,卷,0,48
50,B05001051,自黏性膠帶 Coban-1〞,1〞 x 5yd,1581,14,捲,0,16
51,U00100045,止血帶,50呎/捲1/8x1/32x50呎,,13,尺,0,150
52,Z25311145,眼鏡式護目鏡,,,1,個,0,174
53,C13802013,塑膠接管 Y型接管,1支/包    100支/包,O03004,2,支,0,17
54,Z25132049,拋棄式護士帽,顏色配合醫院需求，100PC/包 10包/箱,,11,盒,0,29
55,Z25200010,外科綁帶手術口罩(第2等級),50個/盒,,11,盒,0,0
56,B08143223,紗布墊 2〞X2〞X8Ply,10片/包,,7,包,0,360
57,A00120221,20CC塑膠注射空針 (有螺紋),20ml luer lock,MDSS20L,2,支,0,0
58,C90510003,蛇型管,,CT-1100,100,mEq,0,100
59,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,"42770,1770",1,個,0,11
60,B00102109,紗布繃帶,2〞x10yd,,12,卷,0,14
61,V03111008,紙口罩,100個/盒,,11,盒,0,0
62,Z24195837,防水隔離衣,1.主要材質為不織布PP(>25gsm)+PE淋膜(>15gsm)  2.身長120±5cm﹑袖長60±5cm﹑胸圍 70±5cm  3.後綁式，反穿設計，袖口為彈性縮口  4.抗水性物料，具防水功能，減低交叉感染機會  5.透氣度高，柔軟舒適，延展性佳，不易撕破，穿著後不會影響活動  6.需提供CNS10460﹑CNS14801﹑CNS12222﹑CNS14799測試報告?,TP03BL,29,件,0,2079
63,Z26720137,鞋套:止滑18〞16〞14〞,14〞16〞18〞具止滑功能,,24,雙,0,1300
64,J00400106,小兒集尿袋,容量150-300cc 滅菌 100/BX,YJ-47,1,個,0,0
65,T02302032,咬口器  Bite Block,小,G01002,1,個,0,0
66,B13700009,檢診手套(非滅菌),,XS,11,盒,0,-11
67,C02113096,抽痰管有刻度內含手控接頭,8FR 100條/袋6袋/箱,,4,條,0,45
68,C08313301,氣管內管PVC,3.0# 無cuff,86234,2,支,0,0
69,C08313404,氣管內管PVC,4.0# 無cuff,86236,2,支,0,0
70,C08313454,氣管內管PVC,4.5# 無cuff,86237,2,支,0,0
71,C08313507,氣管內管PVC,5.0# 無cuff,86238,2,支,0,0
72,T01998336,丟棄式人工甦醒器 手壓球〞豐全〞手動緊急呼吸器,小孩PVC甦醒球4整組(PE袋),BE-1603,3,組,0,0
73,B05569068,沖洗棉棒-6支,6支/包,,7,包,0,908
74,U90902601,大桌巾(未滅菌器械包布),60PK/CS,BC9260NO,7,包,0,0
75,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,S,11,盒,0,1361
76,B05569026,沖洗棉棒-2支,2支/包,,7,包,0,250
77,C00130227,三叉導尿管(矽化塗層)-22Fr,22FR,123422A,4,條,0,20
78,P21800002,Lapack  人工肛門袋,,12502,1,個,0,57
79,V01100853,電極導電膠(未滅菌),250cc/瓶,ElectroMat 50,10,瓶,0,0
80,B00212015,網狀彈性繃帶,2# 25米/盒,,11,盒,0,2
81,B00302052,彈性紗捲,5cmx4.6M(2〞x5yd),,14,捲,0,18
82,G80100027,PST生化管(真空無菌),受容量4ml採血量3ml,367960,2,支,0,20
83,C02513183,鼻胃管18Fr  可顯影125cm,30條/包 ，4包/箱,,4,條,0,18
84,V00500012,超音波傳導膠,250ml/瓶,BE-051,10,瓶,0,52
85,B13500558,無粉乳膠手套,100支/盒﹑10盒/箱,M,11,盒,0,100
86,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,,7,包,0,7
87,C40361062,皮必恩-血管擴張器,6-8FR,610638020-610838020,103,EA,0,0
88,D00320301,3-0 尼龍線  Nylon,26mm x 75cm,NC263L,7,包,0,0
89,A04411097,胰島素注射筆針頭 8mm,31GX8mm,FPN005,2,支,0,0
90,C11000037,Infusor 5ml/hr 二日型奶瓶,,C0050L,3,組,0,0
91,A02120209,塑膠注射針頭,20Gx1+1/2〞  100支/盒,4657519,2,支,0,319
92,C13931431,安全注射器回拉式3ml,3ml 23G*1〞,100077IM,2,支,0,300
93,C03613903,高壓延長管(公針基-公針基),72〞(約180-183cm) 滅菌，可承受壓力 300(PSI)(投標時請附5包樣品現場審查),ETP2-007,25,套,0,43
94,A04200038,安全靜脈點滴輸液套(免針式),180cm,CIV-180EYS,5,付,0,292
95,A00421108,1cc 胰島素注射空針-31G,10支/包 31Gx8mm針頭,328820,2,支,0,0
96,C13931457,安全注射器回拉式5ML,5ml 23G*1 1/4〞,140065IM,2,支,0,0
