,料號,Chinese_Name,規格,型號,庫存單位代碼,庫存單位,常備量,庫存量
0,B13700205,檢診手套(非滅菌),100支/盒,M,11,盒,0,0
1,C13941807,抽痰連接管,180cm 滅菌,S-27-010-A,3,組,0,15
2,Z25200010,外科綁帶手術口罩(第2等級),50個/盒,,11,盒,0,0
3,B13700102,有粉乳膠檢診手套,100支/盒,S,11,盒,0,0
4,B07202101,ENT棉棒,10支/包,,7,包,0,950
5,B05469023,6吋棉棒,普通棉棒10支-包,,7,包,0,1370
6,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,456089,2,支,0,144
7,B08142226,紗布墊 2〞x2〞x8ply,2片/包,,7,包,0,2495
8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,8支/包 300包/箱,,7,包,0,469
9,V03111008,紙口罩,100個/盒,,11,盒,0,0
10,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,SY9514+SY9515,2,支,0,738
11,T02140068,鼻咽喉插管NASAL AIRWAY,6.0#,100/210/060,1,個,0,3
12,T02140076,鼻咽喉插管NASAL AIRWAY,7.0#,100/210/070,1,個,0,9
13,B08142448,紗布墊 10cmx10cmx8ply,2片/包,,7,包,0,186
14,A04120306,幫浦輸液套(一般型),附無針針頭2個,14687,1,個,0,0
15,A46441986,幫浦輸液套(一般型),,M46441980AP,103,EA,0,32
16,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,S,11,盒,0,1361
17,B04820007,3M醫療膠帶(未滅菌),1/2吋*10碼,1538-0,14,捲,0,38
18,B08142337,紗布墊 3〞x3〞x8ply,2片/包,,7,包,0,1215
19,B13500807,無菌手套8.0Fr(無粉)-病房用,#8.0,1318,24,雙,0,423
20,C00211067,橡皮導尿管1wayNo12美規,100條/袋  2袋/箱,,4,條,0,59
21,U91700000,丟棄式導尿包,滅菌,,7,包,0,279
