,料號,Chinese_Name,規格,型號,庫存單位代碼,庫存單位,常備量,庫存量
0,B03251310,透氣帶膠,無切 3〞x5yd 25捲/盒,BP35,14,捲,0,8
1,B03353000,宜拉膠帶,7.5cmx5M(3〞x5YD),,14,捲,0,6
2,B04820007,3M醫療膠帶(未滅菌),1/2吋*10碼,1538-0,14,捲,0,38
3,B04904105,舒軟膠布,100mm*10M,EBR-10010,12,卷,0,24
4,B05001051,自黏性膠帶 Coban-1〞,1〞 x 5yd,1581,14,捲,0,16
5,B05569103,口腔棉棒 棉頭2.5cm直徑0.8cm,5支/包,,7,包,0,4500
6,B07202101,ENT棉棒,10支/包,,7,包,0,950
7,B08143223,紗布墊 2〞X2〞X8Ply,10片/包,,7,包,0,360
8,B08143334,紗布墊 3〞X3〞X8Ply,3〞X3〞-8Ply  10片/包,,7,包,0,25
9,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,,11,盒,0,3536
10,B13700102,有粉乳膠檢診手套,100支/盒,S,11,盒,0,0
11,F10110303,塑膠藥杯，30ML刻度,30cc 1.須有清楚刻度 ，杯口平滑   2.杯口寬減杯底寬度少於1cm(投標時請附5個樣品現場審查),,1,個,0,9300
12,F11010008,尿杯 Urine cup,120-200cc  白色,,1,個,0,1290
13,F20111009,塑膠彎盆,500-600cc,CY-P003,1,個,0,339
14,G80100001,紅頭生化管(真空無菌),受容量7ml採血量6ml,456089,2,支,0,144
15,G80501505,藍頭P.T 管(真空無菌),受容量3ml採血量2ml,454322,2,支,0,231
16,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,367884,2,支,0,100
17,G80504051,紫頭CBC管(真空無菌),受容量5ml採血量2-3ml,367856,2,支,0,1220
18,G80505008,紫頭EDTA管(真空無菌),受容量10ml採血量9ml,455036,2,支,0,660
19,G80506039,黑頭ESR管(真空無菌)1040302啟用,受容量5ml採血量2-3ml,454073,2,支,0,130
20,G81100016,厭氧攜送培養基,20支/包 100支/盒,CMP0400081,2,支,0,79
21,G81200207,嗜氧攜送培養基,,CMP0400051,2,支,0,125
22,G81300012,糞便採集攜送培養基,15ml/瓶  25瓶/盒,CMP0400201,1,個,0,192
23,J00202506,尿液收集袋,(24小時使用) 3500CC,SY8020,1,個,0,26
24,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,SY9514+SY9515,2,支,0,738
25,K80003312,藍蓋螺旋尿管,10ml,FLA-2-10SCVT-100,2,支,0,135
26,K80004028,SST(Yellow)管,5ml 100EA/Bx,456073,2,支,0,4480
27,K82600612,張氏糞便收集器,800個/箱,,1,個,0,-7
28,T01612040,部分重吸入口罩,partial rebreathing,4059,1,個,0,10
29,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,93500,1,個,0,4
30,U00611003,病患識別帶，大人用,粉紅色,SY8049,1,個,0,1730
31,V00500012,超音波傳導膠,250ml/瓶,BE-051,10,瓶,0,52
32,V04451006,壓舌板,10支/包，500包/箱,,7,包,0,397
33,V04702002,體溫速測儀專用膠套,500pc/box,PECG1000,1,個,0,3800
34,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),BC9585DL NO,29,件,0,19
35,Z25200010,外科綁帶手術口罩(第2等級),50個/盒,,11,盒,0,0
36,B13700205,檢診手套(非滅菌),100支/盒,M,11,盒,0,0
37,C13802013,塑膠接管 Y型接管,1支/包    100支/包,O03004,2,支,0,17
38,U00100045,止血帶,50呎/捲1/8x1/32x50呎,,13,尺,0,150
39,B00212015,網狀彈性繃帶,2# 25米/盒,,11,盒,0,2
40,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,,12,卷,0,0
41,C90510003,蛇型管,,CT-1100,100,mEq,0,100
42,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,454221,2,支,0,249
43,J00610007,"塑膠尿套,男用","45cm,100個/包       ",,7,包,0,7
44,T02130806,Oral Airway (Disposable),80mm，綠,2308,1,個,0,29
45,B13500807,無菌手套8.0Fr(無粉)-病房用,#8.0,1318,24,雙,0,423
46,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,"42770,1770",1,個,0,11
47,Z25132049,拋棄式護士帽,顏色配合醫院需求，100PC/包 10包/箱,,11,盒,0,29
48,U03064245,預充式導管沖洗器-含肝素5c.c.,100USP unit/ml，  5 ml,306424,103,EA,0,0
49,B05569068,沖洗棉棒-6支,6支/包,,7,包,0,908
50,A02120241,塑膠注射針頭,24Gx1〞    100支/盒,4657675,2,支,0,650
51,T02120705,ORAL AIRWAY,"70mm,綠,NO.7        ",2306~2308           ,1,個,0,0
52,V03111008,紙口罩,100個/盒,,11,盒,0,0
53,B00106107,紗布繃帶,15cmx9M(6〞x10YD),,12,卷,0,46
54,B05569026,沖洗棉棒-2支,2支/包,,7,包,0,250
55,B00102109,紗布繃帶,2〞x10yd,,12,卷,0,14
56,B00103106,紗布繃帶,3〞x10yd,,12,卷,0,27
57,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,S,11,盒,0,1361
58,B13500558,無粉乳膠手套,100支/盒﹑10盒/箱,M,11,盒,0,100
59,Z26720137,鞋套:止滑18〞16〞14〞,14〞16〞18〞具止滑功能,,24,雙,0,1300
60,B13000852,外科無菌手套,8.5,5.5-8.5,24,雙,0,300
61,Z25132425,醫師手術帽,100PC/BX,,11,盒,0,0
62,C08224808,氣管內管PVC,8.0#有Cuff,107-80,2,支,0,14
63,C09133607,氣切套管 Cuff 6.0,6.0mm 有Cuff,TS-060C,1,個,0,8
64,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,,7,包,0,7
65,Z25200060,拋棄式護面罩,1.100%透光度佳、具PET防霧之高清晰度材質   2.額頭處20mm(±5%)泡棉條及附一條鬆緊帶 3.長33公分、寬22公分(各誤差值±1公分)4.拋棄式5.投標時請附5片樣品現場防霧測試，10分鐘無霧氣產生,,1,個,0,7585
66,G80100027,PST生化管(真空無菌),受容量4ml採血量3ml,367960,2,支,0,20
67,B00215008,網狀彈性繃帶,5# 25Y /盒,,11,盒,0,1
68,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,,11,盒,0,0
69,B13700009,檢診手套(非滅菌),,XS,11,盒,0,-11
70,V02204150,手術刀片,#15   100支/盒,,2,支,0,844
71,V01100853,電極導電膠(未滅菌),250cc/瓶,ElectroMat 50,10,瓶,0,0
72,C02113107,抽痰管有刻度，內含手控接頭,10Fr,,4,條,0,0
73,A04200038,安全靜脈點滴輸液套(免針式),180cm,CIV-180EYS,5,付,0,292
74,A02120225,塑膠注射針頭,22Gx11/4〞  100支/盒,4657624,2,支,0,190
75,C13931457,安全注射器回拉式5ML,5ml 23G*1 1/4〞,140065IM,2,支,0,0
76,A00712003,『美樂得』注射筒組套(單管),單管注射筒,SSS-CTP-QFT,3,組,0,0
77,C18100201,〞巴德〞 耐吉瑞透析導管15CM,12Fr/15CM,5553150,2,支,0,10
78,C40361165,皮必恩-血管擴張器,16FR,611647025,103,EA,0,0
