,庫房,料號,品名,數量,週,年,滑動平均,滑動標準差,滑動變異數
0,DLN5,A00120110,10cc塑膠注射空針 無螺紋,123.0,1,2019,0.0,0.0,0.0
1,DLN5,A00120110,10cc塑膠注射空針 無螺紋,148.0,2,2019,0.0,0.0,0.0
2,DLN5,A00120110,10cc塑膠注射空針 無螺紋,127.0,3,2019,0.0,0.0,0.0
3,DLN5,A00120110,10cc塑膠注射空針 無螺紋,128.0,4,2019,132.67,13.43,180.33
4,DLN5,A00120110,10cc塑膠注射空針 無螺紋,132.0,5,2019,134.33,11.85,140.33
5,DLN5,A00120110,10cc塑膠注射空針 無螺紋,129.0,6,2019,129.0,2.65,7.0
6,DLN5,A00120110,10cc塑膠注射空針 無螺紋,212.0,7,2019,129.67,2.08,4.33
7,DLN5,A00120110,10cc塑膠注射空針 無螺紋,166.0,8,2019,157.67,47.08,2216.33
8,DLN5,A00120110,10cc塑膠注射空針 無螺紋,151.0,9,2019,169.0,41.58,1729.0
9,DLN5,A00120110,10cc塑膠注射空針 無螺紋,165.0,10,2019,176.33,31.79,1010.33
10,DLN5,A00120110,10cc塑膠注射空針 無螺紋,180.0,11,2019,160.67,8.39,70.33
11,DLN5,A00120110,10cc塑膠注射空針 無螺紋,214.0,12,2019,165.33,14.5,210.33
12,DLN5,A00120110,10cc塑膠注射空針 無螺紋,143.0,13,2019,186.33,25.11,630.33
13,DLN5,A00120110,10cc塑膠注射空針 無螺紋,117.0,14,2019,179.0,35.51,1261.0
14,DLN5,A00120110,10cc塑膠注射空針 無螺紋,197.0,15,2019,158.0,50.21,2521.0
15,DLN5,A00120110,10cc塑膠注射空針 無螺紋,162.0,16,2019,152.33,40.81,1665.33
16,DLN5,A00120110,10cc塑膠注射空針 無螺紋,245.0,17,2019,158.67,40.1,1608.33
17,DLN5,A00120110,10cc塑膠注射空針 無螺紋,190.0,18,2019,201.33,41.67,1736.33
18,DLN5,A00120110,10cc塑膠注射空針 無螺紋,150.0,19,2019,199.0,42.23,1783.0
19,DLN5,A00120110,10cc塑膠注射空針 無螺紋,160.0,20,2019,195.0,47.7,2275.0
20,DLN5,A00120110,10cc塑膠注射空針 無螺紋,188.0,21,2019,166.67,20.82,433.33
21,DLN5,A00120110,10cc塑膠注射空針 無螺紋,113.0,22,2019,166.0,19.7,388.0
22,DLN5,A00120110,10cc塑膠注射空針 無螺紋,98.0,23,2019,153.67,37.9,1436.33
23,DLN5,A00120110,10cc塑膠注射空針 無螺紋,153.0,24,2019,133.0,48.22,2325.0
24,DLN5,A00120110,10cc塑膠注射空針 無螺紋,132.0,25,2019,121.33,28.43,808.33
25,DLN5,A00120110,10cc塑膠注射空針 無螺紋,189.0,26,2019,127.67,27.75,770.33
26,DLN5,A00120110,10cc塑膠注射空針 無螺紋,211.0,27,2019,158.0,28.83,831.0
27,DLN5,A00120110,10cc塑膠注射空針 無螺紋,187.0,28,2019,177.33,40.77,1662.33
28,DLN5,A00120110,10cc塑膠注射空針 無螺紋,164.0,29,2019,195.67,13.32,177.33
29,DLN5,A00120110,10cc塑膠注射空針 無螺紋,208.0,30,2019,187.33,23.5,552.33
30,DLN5,A00120110,10cc塑膠注射空針 無螺紋,154.0,31,2019,186.33,22.01,484.33
31,DLN5,A00120110,10cc塑膠注射空針 無螺紋,169.0,32,2019,175.33,28.73,825.33
32,DLN5,A00120110,10cc塑膠注射空針 無螺紋,205.0,33,2019,177.0,27.87,777.0
33,DLN5,A00120110,10cc塑膠注射空針 無螺紋,93.0,34,2019,176.0,26.21,687.0
34,DLN5,A00120110,10cc塑膠注射空針 無螺紋,151.0,35,2019,155.67,57.18,3269.33
35,DLN5,A00120110,10cc塑膠注射空針 無螺紋,220.0,36,2019,149.67,56.01,3137.33
36,DLN5,A00120110,10cc塑膠注射空針 無螺紋,176.0,37,2019,154.67,63.58,4042.33
37,DLN5,A00120110,10cc塑膠注射空針 無螺紋,144.0,38,2019,182.33,34.93,1220.33
38,DLN5,A00120110,10cc塑膠注射空針 無螺紋,146.0,39,2019,180.0,38.16,1456.0
39,DLN5,A00120110,10cc塑膠注射空針 無螺紋,149.0,40,2019,155.33,17.93,321.33
40,DLN5,A00120110,10cc塑膠注射空針 無螺紋,176.0,41,2019,146.33,2.52,6.33
41,DLN5,A00120110,10cc塑膠注射空針 無螺紋,109.0,42,2019,157.0,16.52,273.0
42,DLN5,A00120110,10cc塑膠注射空針 無螺紋,167.0,43,2019,144.67,33.71,1136.33
43,DLN5,A00120110,10cc塑膠注射空針 無螺紋,203.0,44,2019,150.67,36.36,1322.33
44,DLN5,A00120110,10cc塑膠注射空針 無螺紋,140.0,45,2019,159.67,47.43,2249.33
45,DLN5,A00120110,10cc塑膠注射空針 無螺紋,165.0,46,2019,170.0,31.61,999.0
46,DLN5,A00120110,10cc塑膠注射空針 無螺紋,193.0,47,2019,169.33,31.72,1006.33
47,DLN5,A00120110,10cc塑膠注射空針 無螺紋,240.0,48,2019,166.0,26.51,703.0
48,DLN5,A00120110,10cc塑膠注射空針 無螺紋,155.0,49,2019,199.33,37.9,1436.33
49,DLN5,A00120110,10cc塑膠注射空針 無螺紋,140.0,50,2019,196.0,42.58,1813.0
50,DLN5,A00120110,10cc塑膠注射空針 無螺紋,176.0,51,2019,178.33,53.93,2908.33
51,DLN5,A00120110,10cc塑膠注射空針 無螺紋,157.0,52,2019,157.0,18.08,327.0
