,庫房,料號,品名,數量,週,年,滑動平均,滑動標準差,滑動變異數
0,DLN5,A00120067,5cc 塑膠注射空針,128.0,1,2019,0.0,0.0,0.0
1,DLN5,A00120067,5cc 塑膠注射空針,136.0,2,2019,0.0,0.0,0.0
2,DLN5,A00120067,5cc 塑膠注射空針,128.0,3,2019,0.0,0.0,0.0
3,DLN5,A00120067,5cc 塑膠注射空針,135.0,4,2019,130.67,4.62,21.33
4,DLN5,A00120067,5cc 塑膠注射空針,91.0,5,2019,133.0,4.36,19.0
5,DLN5,A00120067,5cc 塑膠注射空針,78.0,6,2019,118.0,23.64,559.0
6,DLN5,A00120067,5cc 塑膠注射空針,131.0,7,2019,101.33,29.87,892.33
7,DLN5,A00120067,5cc 塑膠注射空針,126.0,8,2019,100.0,27.62,763.0
8,DLN5,A00120067,5cc 塑膠注射空針,136.0,9,2019,111.67,29.26,856.33
9,DLN5,A00120067,5cc 塑膠注射空針,161.0,10,2019,131.0,5.0,25.0
10,DLN5,A00120067,5cc 塑膠注射空針,173.0,11,2019,141.0,18.03,325.0
11,DLN5,A00120067,5cc 塑膠注射空針,189.0,12,2019,156.67,18.88,356.33
12,DLN5,A00120067,5cc 塑膠注射空針,125.0,13,2019,174.33,14.05,197.33
13,DLN5,A00120067,5cc 塑膠注射空針,68.0,14,2019,162.33,33.31,1109.33
14,DLN5,A00120067,5cc 塑膠注射空針,140.0,15,2019,127.33,60.53,3664.33
15,DLN5,A00120067,5cc 塑膠注射空針,114.0,16,2019,111.0,37.99,1443.0
16,DLN5,A00120067,5cc 塑膠注射空針,164.0,17,2019,107.33,36.46,1329.33
17,DLN5,A00120067,5cc 塑膠注射空針,103.0,18,2019,139.33,25.01,625.33
18,DLN5,A00120067,5cc 塑膠注射空針,147.0,19,2019,127.0,32.51,1057.0
19,DLN5,A00120067,5cc 塑膠注射空針,131.0,20,2019,138.0,31.48,991.0
20,DLN5,A00120067,5cc 塑膠注射空針,134.0,21,2019,127.0,22.27,496.0
21,DLN5,A00120067,5cc 塑膠注射空針,109.0,22,2019,137.33,8.5,72.33
22,DLN5,A00120067,5cc 塑膠注射空針,113.0,23,2019,124.67,13.65,186.33
23,DLN5,A00120067,5cc 塑膠注射空針,124.0,24,2019,118.67,13.43,180.33
24,DLN5,A00120067,5cc 塑膠注射空針,133.0,25,2019,115.33,7.77,60.33
25,DLN5,A00120067,5cc 塑膠注射空針,127.0,26,2019,123.33,10.02,100.33
26,DLN5,A00120067,5cc 塑膠注射空針,143.0,27,2019,128.0,4.58,21.0
27,DLN5,A00120067,5cc 塑膠注射空針,107.0,28,2019,134.33,8.08,65.33
28,DLN5,A00120067,5cc 塑膠注射空針,128.0,29,2019,125.67,18.04,325.33
29,DLN5,A00120067,5cc 塑膠注射空針,153.0,30,2019,126.0,18.08,327.0
30,DLN5,A00120067,5cc 塑膠注射空針,110.0,31,2019,129.33,23.03,530.33
31,DLN5,A00120067,5cc 塑膠注射空針,141.0,32,2019,130.33,21.59,466.33
32,DLN5,A00120067,5cc 塑膠注射空針,190.0,33,2019,134.67,22.19,492.33
