,庫房,料號,品名,數量,週,年,滑動平均,滑動標準差,滑動變異數
0,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,40.0,1,2019,0.0,0.0,0.0
1,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,63.0,2,2019,0.0,0.0,0.0
2,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,54.0,3,2019,0.0,0.0,0.0
3,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,50.0,4,2019,52.33,11.59,134.33
4,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,23.0,5,2019,55.67,6.66,44.33
5,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,39.0,6,2019,42.33,16.86,284.33
6,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,60.0,7,2019,37.33,13.58,184.33
7,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,69.0,8,2019,40.67,18.56,344.33
8,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,53.0,9,2019,56.0,15.39,237.0
9,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,59.0,10,2019,60.67,8.02,64.33
10,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,53.0,11,2019,60.33,8.08,65.33
11,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,76.0,12,2019,55.0,3.46,12.0
12,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,39.0,13,2019,62.67,11.93,142.33
13,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,31.0,14,2019,56.0,18.68,349.0
14,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,60.0,15,2019,48.67,24.01,576.33
15,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,63.0,16,2019,43.33,14.98,224.33
16,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,55.0,17,2019,51.33,17.67,312.33
17,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,50.0,18,2019,59.33,4.04,16.33
18,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,61.0,19,2019,56.0,6.56,43.0
19,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,55.0,20,2019,55.33,5.51,30.33
