,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-03,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,1
1,2019-01-07,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,2
2,2019-01-14,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,30.0,30.0,0.0,3
3,2019-01-18,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,72.0,72.0,0.0,3
4,2019-01-28,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,5
5,2019-02-18,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,12.0,12.0,0.0,8
6,2019-02-25,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,9
7,2019-03-04,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,10
8,2019-03-11,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,11
9,2019-03-18,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,12
10,2019-03-25,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,13
11,2019-04-01,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,14
12,2019-04-08,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,12.0,12.0,0.0,15
13,2019-04-15,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,12.0,12.0,0.0,16
14,2019-04-22,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,17
15,2019-05-06,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,12.0,12.0,0.0,19
16,2019-05-13,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,20
17,2019-05-20,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,21
18,2019-05-27,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,12.0,12.0,0.0,22
19,2019-06-03,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,23
20,2019-06-10,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,24
21,2019-06-17,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,25
22,2019-06-24,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,26
23,2019-07-01,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,12.0,12.0,0.0,27
24,2019-07-08,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,28
25,2019-07-15,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,36.0,0.0,0.0,24.0,24.0,0.0,29
