,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-14,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,8.0,0.0,0.0,3.0,3.0,0.0,3
1,2019-05-13,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,8.0,0.0,0.0,1.0,1.0,0.0,20
2,2019-06-03,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,8.0,0.0,0.0,1.0,1.0,0.0,23
3,2019-07-08,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,8.0,0.0,0.0,1.0,1.0,0.0,28
4,2019-08-19,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,8.0,0.0,0.0,2.0,2.0,0.0,34
5,2019-10-07,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,3.0,0.0,0.0,2.0,2.0,0.0,41
6,2019-12-02,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,3.0,0.0,0.0,3.0,3.0,0.0,49
0,2020-01-13,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,3.0,0.0,0.0,3.0,3.0,0.0,3
1,2020-03-09,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,3.0,0.0,0.0,1.0,1.0,0.0,11
2,2020-06-11,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,3.0,0.0,0.0,3.0,3.0,0.0,24
3,2020-08-17,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,3.0,0.0,0.0,2.0,2.0,0.0,34
4,2020-10-12,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,3.0,0.0,0.0,2.0,2.0,0.0,42
5,2020-12-07,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,3.0,0.0,0.0,1.0,1.0,0.0,50
0,2021-01-25,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,3.0,0.0,0.0,3.0,3.0,0.0,4
1,2021-04-26,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,3.0,0.0,0.0,2.0,2.0,0.0,17
2,2021-08-09,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,3.0,0.0,0.0,1.0,1.0,0.0,32
3,2021-10-04,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,3.0,0.0,0.0,2.0,2.0,0.0,40
4,2021-11-15,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,3.0,0.0,0.0,1.0,1.0,0.0,46
5,2021-12-22,L03500108,吸唾器Disposable 100支/包,150mm 塑膠,包,T,3.0,0.0,0.0,2.0,2.0,0.0,51
