,庫房,料號,品名,數量,週,年,滑動平均,滑動標準差,滑動變異數
0,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,40.0,1,2019,0.0,0.0,0.0
1,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,63.0,2,2019,0.0,0.0,0.0
2,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,54.0,3,2019,51.5,16.26,264.5
3,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,50.0,4,2019,58.5,6.36,40.5
4,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,23.0,5,2019,52.0,2.83,8.0
5,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,39.0,6,2019,36.5,19.09,364.5
6,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,60.0,7,2019,31.0,11.31,128.0
7,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,69.0,8,2019,49.5,14.85,220.5
8,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,53.0,9,2019,64.5,6.36,40.5
9,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,59.0,10,2019,61.0,11.31,128.0
10,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,53.0,11,2019,56.0,4.24,18.0
11,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,76.0,12,2019,56.0,4.24,18.0
12,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,39.0,13,2019,64.5,16.26,264.5
13,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,31.0,14,2019,57.5,26.16,684.5
14,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,60.0,15,2019,35.0,5.66,32.0
15,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,63.0,16,2019,45.5,20.51,420.5
16,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,55.0,17,2019,61.5,2.12,4.5
17,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,50.0,18,2019,59.0,5.66,32.0
18,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,61.0,19,2019,52.5,3.54,12.5
19,DLN5,A02320340,〞美迪克〞安全性靜脈留置針  20G,55.0,20,2019,55.5,7.78,60.5
