,庫房,料號,品名,數量,週,年,滑動平均,滑動標準差,滑動變異數
0,DLN5,A00120067,5cc 塑膠注射空針,128.0,1,2019,0.0,0.0,0.0
1,DLN5,A00120067,5cc 塑膠注射空針,136.0,2,2019,0.0,0.0,0.0
2,DLN5,A00120067,5cc 塑膠注射空針,128.0,3,2019,132.0,5.66,32.0
3,DLN5,A00120067,5cc 塑膠注射空針,135.0,4,2019,132.0,5.66,32.0
4,DLN5,A00120067,5cc 塑膠注射空針,91.0,5,2019,131.5,4.95,24.5
5,DLN5,A00120067,5cc 塑膠注射空針,78.0,6,2019,113.0,31.11,968.0
6,DLN5,A00120067,5cc 塑膠注射空針,131.0,7,2019,84.5,9.19,84.5
7,DLN5,A00120067,5cc 塑膠注射空針,126.0,8,2019,104.5,37.48,1404.5
8,DLN5,A00120067,5cc 塑膠注射空針,136.0,9,2019,128.5,3.54,12.5
9,DLN5,A00120067,5cc 塑膠注射空針,161.0,10,2019,131.0,7.07,50.0
10,DLN5,A00120067,5cc 塑膠注射空針,173.0,11,2019,148.5,17.68,312.5
11,DLN5,A00120067,5cc 塑膠注射空針,189.0,12,2019,167.0,8.49,72.0
12,DLN5,A00120067,5cc 塑膠注射空針,125.0,13,2019,181.0,11.31,128.0
13,DLN5,A00120067,5cc 塑膠注射空針,68.0,14,2019,157.0,45.25,2048.0
14,DLN5,A00120067,5cc 塑膠注射空針,140.0,15,2019,96.5,40.31,1624.5
15,DLN5,A00120067,5cc 塑膠注射空針,114.0,16,2019,104.0,50.91,2592.0
16,DLN5,A00120067,5cc 塑膠注射空針,164.0,17,2019,127.0,18.38,338.0
17,DLN5,A00120067,5cc 塑膠注射空針,103.0,18,2019,139.0,35.36,1250.0
18,DLN5,A00120067,5cc 塑膠注射空針,147.0,19,2019,133.5,43.13,1860.5
19,DLN5,A00120067,5cc 塑膠注射空針,131.0,20,2019,125.0,31.11,968.0
20,DLN5,A00120067,5cc 塑膠注射空針,134.0,21,2019,139.0,11.31,128.0
21,DLN5,A00120067,5cc 塑膠注射空針,109.0,22,2019,132.5,2.12,4.5
22,DLN5,A00120067,5cc 塑膠注射空針,113.0,23,2019,121.5,17.68,312.5
23,DLN5,A00120067,5cc 塑膠注射空針,124.0,24,2019,111.0,2.83,8.0
24,DLN5,A00120067,5cc 塑膠注射空針,133.0,25,2019,118.5,7.78,60.5
25,DLN5,A00120067,5cc 塑膠注射空針,127.0,26,2019,128.5,6.36,40.5
26,DLN5,A00120067,5cc 塑膠注射空針,143.0,27,2019,130.0,4.24,18.0
27,DLN5,A00120067,5cc 塑膠注射空針,107.0,28,2019,135.0,11.31,128.0
28,DLN5,A00120067,5cc 塑膠注射空針,128.0,29,2019,125.0,25.46,648.0
29,DLN5,A00120067,5cc 塑膠注射空針,153.0,30,2019,117.5,14.85,220.5
30,DLN5,A00120067,5cc 塑膠注射空針,110.0,31,2019,140.5,17.68,312.5
31,DLN5,A00120067,5cc 塑膠注射空針,141.0,32,2019,131.5,30.41,924.5
32,DLN5,A00120067,5cc 塑膠注射空針,190.0,33,2019,125.5,21.92,480.5
