,庫房,料號,品名,數量,週,年,滑動平均,滑動標準差,滑動變異數
0,DLN5,A00120110,10cc塑膠注射空針 無螺紋,123.0,1,2019,0.0,0.0,0.0
1,DLN5,A00120110,10cc塑膠注射空針 無螺紋,148.0,2,2019,0.0,0.0,0.0
2,DLN5,A00120110,10cc塑膠注射空針 無螺紋,127.0,3,2019,135.5,17.68,312.5
3,DLN5,A00120110,10cc塑膠注射空針 無螺紋,128.0,4,2019,137.5,14.85,220.5
4,DLN5,A00120110,10cc塑膠注射空針 無螺紋,132.0,5,2019,127.5,0.71,0.5
5,DLN5,A00120110,10cc塑膠注射空針 無螺紋,129.0,6,2019,130.0,2.83,8.0
6,DLN5,A00120110,10cc塑膠注射空針 無螺紋,212.0,7,2019,130.5,2.12,4.5
7,DLN5,A00120110,10cc塑膠注射空針 無螺紋,166.0,8,2019,170.5,58.69,3444.5
8,DLN5,A00120110,10cc塑膠注射空針 無螺紋,151.0,9,2019,189.0,32.53,1058.0
9,DLN5,A00120110,10cc塑膠注射空針 無螺紋,165.0,10,2019,158.5,10.61,112.5
10,DLN5,A00120110,10cc塑膠注射空針 無螺紋,180.0,11,2019,158.0,9.9,98.0
11,DLN5,A00120110,10cc塑膠注射空針 無螺紋,214.0,12,2019,172.5,10.61,112.5
12,DLN5,A00120110,10cc塑膠注射空針 無螺紋,143.0,13,2019,197.0,24.04,578.0
13,DLN5,A00120110,10cc塑膠注射空針 無螺紋,117.0,14,2019,178.5,50.2,2520.5
14,DLN5,A00120110,10cc塑膠注射空針 無螺紋,197.0,15,2019,130.0,18.38,338.0
15,DLN5,A00120110,10cc塑膠注射空針 無螺紋,162.0,16,2019,157.0,56.57,3200.0
16,DLN5,A00120110,10cc塑膠注射空針 無螺紋,245.0,17,2019,179.5,24.75,612.5
17,DLN5,A00120110,10cc塑膠注射空針 無螺紋,190.0,18,2019,203.5,58.69,3444.5
18,DLN5,A00120110,10cc塑膠注射空針 無螺紋,150.0,19,2019,217.5,38.89,1512.5
19,DLN5,A00120110,10cc塑膠注射空針 無螺紋,160.0,20,2019,170.0,28.28,800.0
20,DLN5,A00120110,10cc塑膠注射空針 無螺紋,188.0,21,2019,155.0,7.07,50.0
21,DLN5,A00120110,10cc塑膠注射空針 無螺紋,113.0,22,2019,174.0,19.8,392.0
22,DLN5,A00120110,10cc塑膠注射空針 無螺紋,98.0,23,2019,150.5,53.03,2812.5
23,DLN5,A00120110,10cc塑膠注射空針 無螺紋,153.0,24,2019,105.5,10.61,112.5
24,DLN5,A00120110,10cc塑膠注射空針 無螺紋,132.0,25,2019,125.5,38.89,1512.5
25,DLN5,A00120110,10cc塑膠注射空針 無螺紋,189.0,26,2019,142.5,14.85,220.5
26,DLN5,A00120110,10cc塑膠注射空針 無螺紋,211.0,27,2019,160.5,40.31,1624.5
27,DLN5,A00120110,10cc塑膠注射空針 無螺紋,187.0,28,2019,200.0,15.56,242.0
28,DLN5,A00120110,10cc塑膠注射空針 無螺紋,164.0,29,2019,199.0,16.97,288.0
29,DLN5,A00120110,10cc塑膠注射空針 無螺紋,208.0,30,2019,175.5,16.26,264.5
30,DLN5,A00120110,10cc塑膠注射空針 無螺紋,154.0,31,2019,186.0,31.11,968.0
31,DLN5,A00120110,10cc塑膠注射空針 無螺紋,169.0,32,2019,181.0,38.18,1458.0
32,DLN5,A00120110,10cc塑膠注射空針 無螺紋,205.0,33,2019,161.5,10.61,112.5
33,DLN5,A00120110,10cc塑膠注射空針 無螺紋,93.0,34,2019,187.0,25.46,648.0
34,DLN5,A00120110,10cc塑膠注射空針 無螺紋,151.0,35,2019,149.0,79.2,6272.0
35,DLN5,A00120110,10cc塑膠注射空針 無螺紋,220.0,36,2019,122.0,41.01,1682.0
36,DLN5,A00120110,10cc塑膠注射空針 無螺紋,176.0,37,2019,185.5,48.79,2380.5
37,DLN5,A00120110,10cc塑膠注射空針 無螺紋,144.0,38,2019,198.0,31.11,968.0
38,DLN5,A00120110,10cc塑膠注射空針 無螺紋,146.0,39,2019,160.0,22.63,512.0
39,DLN5,A00120110,10cc塑膠注射空針 無螺紋,149.0,40,2019,145.0,1.41,2.0
40,DLN5,A00120110,10cc塑膠注射空針 無螺紋,176.0,41,2019,147.5,2.12,4.5
41,DLN5,A00120110,10cc塑膠注射空針 無螺紋,109.0,42,2019,162.5,19.09,364.5
42,DLN5,A00120110,10cc塑膠注射空針 無螺紋,167.0,43,2019,142.5,47.38,2244.5
43,DLN5,A00120110,10cc塑膠注射空針 無螺紋,203.0,44,2019,138.0,41.01,1682.0
44,DLN5,A00120110,10cc塑膠注射空針 無螺紋,140.0,45,2019,185.0,25.46,648.0
45,DLN5,A00120110,10cc塑膠注射空針 無螺紋,165.0,46,2019,171.5,44.55,1984.5
46,DLN5,A00120110,10cc塑膠注射空針 無螺紋,193.0,47,2019,152.5,17.68,312.5
47,DLN5,A00120110,10cc塑膠注射空針 無螺紋,240.0,48,2019,179.0,19.8,392.0
48,DLN5,A00120110,10cc塑膠注射空針 無螺紋,155.0,49,2019,216.5,33.23,1104.5
49,DLN5,A00120110,10cc塑膠注射空針 無螺紋,140.0,50,2019,197.5,60.1,3612.5
50,DLN5,A00120110,10cc塑膠注射空針 無螺紋,176.0,51,2019,147.5,10.61,112.5
51,DLN5,A00120110,10cc塑膠注射空針 無螺紋,157.0,52,2019,158.0,25.46,648.0
