,庫房,料號,品名,數量,週,工作日,帳務日期
2305,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,64.0,1,False,2021-01-10
2376,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,75.0,2,False,2021-01-17
2434,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,67.0,3,False,2021-01-24
2483,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,67.0,4,True,2021-01-29
6761,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,58.0,5,True,2021-02-07
6770,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,9.0,6,True,2021-02-09
6803,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,33.0,7,True,2021-02-20
6879,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,81.0,8,False,2021-02-28
10913,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,56.0,9,False,2021-03-07
10966,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,53.0,10,False,2021-03-14
11021,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,57.0,11,False,2021-03-21
11067,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,48.0,12,False,2021-03-28
15391,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,50.0,13,False,2021-04-04
15446,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,60.0,14,False,2021-04-11
15488,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,44.0,15,False,2021-04-18
15524,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,36.0,16,True,2021-04-25
19489,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,50.0,17,False,2021-05-02
19531,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,43.0,18,False,2021-05-09
19571,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,41.0,19,False,2021-05-16
19617,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,48.0,20,False,2021-05-23
19660,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,44.0,21,False,2021-05-30
23951,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,53.0,22,False,2021-06-06
23998,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,52.0,23,False,2021-06-13
24042,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,46.0,24,False,2021-06-20
24089,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,51.0,25,False,2021-06-27
28732,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,41.0,26,False,2021-07-04
28790,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,61.0,27,False,2021-07-11
28839,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,50.0,28,False,2021-07-18
28886,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,49.0,29,False,2021-07-25
33243,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,51.0,30,False,2021-08-01
33293,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,52.0,31,False,2021-08-08
33333,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,43.0,32,False,2021-08-15
33383,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,52.0,33,False,2021-08-22
33430,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,48.0,34,False,2021-08-29
37527,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,52.0,35,False,2021-09-05
37579,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,55.0,36,False,2021-09-12
37629,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,50.0,37,False,2021-09-19
37661,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,35.0,38,True,2021-09-26
42228,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,69.0,39,False,2021-10-03
42267,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,40.0,40,False,2021-10-10
42302,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,38.0,41,False,2021-10-17
42348,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,48.0,42,False,2021-10-24
42391,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,45.0,43,False,2021-10-31
46395,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,40.0,44,False,2021-11-07
46454,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,61.0,45,False,2021-11-14
46498,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,47.0,46,False,2021-11-21
46546,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,51.0,47,False,2021-11-28
50380,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,41.0,48,False,2021-12-05
50417,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,39.0,49,False,2021-12-12
50464,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,49.0,50,False,2021-12-19
50506,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,45.0,51,False,2021-12-26
50541,DLN5,A04200004,精密輸液套附Y加藥座120c.c硬bag,37.0,52,True,2021-12-30
